Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"167MarquinhosPSG, 31, D(CR),DMC","Marquinhos PSG, 31, D(CR),DMC",30(3),2718,2,-,4,-,0.5,95.4,1.1,-,6.72
"168Théo Sainte-LuceMontpellier, 27, D(L)","Théo Sainte-Luce Montpellier, 27, D(L)",7(2),535,1,1,-,-,0.3,84.4,0.7,-,6.72
"169Lucien AgouméTroyes, 24, M(C)","Lucien Agoumé Troyes, 24, M(C)",14(1),1097,-,1,6,-,0.6,83.7,2.1,-,6.71
"170Désiré DouéRennes, 20, AM(CLR),FW","Désiré Doué Rennes, 20, AM(CLR),FW",11(15),1116,3,1,5,-,0.8,81.2,0.4,1,6.71
"171Vito MannoneLorient, 38, GK","Vito Mannone Lorient, 38, GK",17(1),1607,-,-,1,-,-,71.4,0.2,1,6.71
"172Mario LeminaNice, 32, D(C),M(C)","Mario Lemina Nice, 32, D(C),M(C)",11(3),844,-,-,1,1,0.4,90.0,0.4,-,6.71
"173Angel GomesLille, 25, M(CL),FW","Angel Gomes Lille, 25, M(CL),FW",34(2),2836,2,6,9,-,1.6,87.9,0.3,1,6.71
"174Arthur TheateRennes, 25, D(CL)","Arthur Theate Rennes, 25, D(CL)",35,3129,4,-,5,-,0.9,89.6,2.0,1,6.71
"175André GomesLille, 32, M(CLR)","André Gomes Lille, 32, M(CLR)",18(8),1628,3,2,6,-,0.7,89.2,0.7,1,6.71
"176Steve MandandaRennes, 41, GK","Steve Mandanda Rennes, 41, GK",34,3016,-,1,1,-,-,71.9,0.2,2,6.7
"177Marco BizotBrest, 35, GK","Marco Bizot Brest, 35, GK",37,3330,-,-,4,-,-,68.2,0.1,3,6.7
"178Zakaria AboukhlalToulouse, 26, M(CLR),FW","Zakaria Aboukhlal Toulouse, 26, M(CLR),FW",28(9),2480,10,5,4,-,2.2,76.7,0.3,3,6.7
"179Farès ChaïbiToulouse, 23, M(CLR),FW","Farès Chaïbi Toulouse, 23, M(CLR),FW",24(12),2345,5,5,2,-,1.8,76.5,0.9,-,6.7
"180Jean-Charles CastellettoNantes, 31, D(CR)","Jean-Charles Castelletto Nantes, 31, D(CR)",30(2),2569,-,-,3,-,0.3,82.8,2.4,-,6.69
"181Aaron RamseyNice, 35, M(CLR)","Aaron Ramsey Nice, 35, M(CLR)",18(9),1588,1,1,3,-,0.8,87.8,0.2,1,6.69
"182Tiago DjalóLille, 26, D(CLR)","Tiago Djaló Lille, 26, D(CLR)",24(1),2022,2,-,7,-,0.6,93.1,1.1,1,6.69
"183Gédéon KaluluLorient, 28, D(R),M(R)","Gédéon Kalulu Lorient, 28, D(R),M(R)",28(1),2442,-,4,6,-,0.3,82.0,1.0,1,6.69
"184Han-Noah MassengoAuxerre, 24, M(C)","Han-Noah Massengo Auxerre, 24, M(C)",13(1),1119,-,-,3,-,0.9,86.0,0.4,-,6.69
"185Nuno da CostaAuxerre, 35, AM(CLR),FW","Nuno da Costa Auxerre, 35, AM(CLR),FW",23(10),2017,5,4,3,1,1.2,69.9,1.4,3,6.69
"186Anthony LopesLyon, 35, GK","Anthony Lopes Lyon, 35, GK",32,2817,-,-,2,1,-,74.3,0.1,-,6.69
"187Andy DelortNice, 34, AM(R),FW","Andy Delort Nice, 34, AM(R),FW",9(5),781,6,1,-,-,1.9,64.8,2.0,-,6.68
"188JeffinhoLyon, 26, AM(L)","Jeffinho Lyon, 26, AM(L)",4(5),443,1,-,1,-,1.1,86.3,0.3,-,6.68
"189Alexander NübelMonaco, 29, GK","Alexander Nübel Monaco, 29, GK",38,3420,-,-,2,-,-,69.4,0.2,1,6.68
"190Jonas OmlinMontpellier, 32, GK","Jonas Omlin Montpellier, 32, GK",14,1168,-,-,1,1,-,65.1,0.2,-,6.68
"191Karl Toko-EkambiRennes, 33, AM(LR),FW","Karl Toko-Ekambi Rennes, 33, AM(LR),FW",11(6),973,3,2,-,-,1.3,73.5,1.1,-,6.68
"192Youssouf NdayishimiyeNice, 27, D(C),DMC","Youssouf Ndayishimiye Nice, 27, D(C),DMC",6(4),566,1,-,2,-,0.8,90.5,0.5,-,6.68
"193Joris ChotardMontpellier, 24, DMC","Joris Chotard Montpellier, 24, DMC",26(9),2461,-,6,4,-,0.3,81.3,0.4,1,6.67
"194Bamo MeïtéLorient, 24, D(C)","Bamo Meïté Lorient, 24, D(C)",17(1),1504,1,-,5,-,0.2,89.5,1.7,1,6.67
"195Nicolas PalloisNantes, 38, D(C)","Nicolas Pallois Nantes, 38, D(C)",26,2217,1,-,2,1,0.3,83.8,1.3,1,6.67
"196Dimitri PayetMarseille, 39, M(CLR),FW","Dimitri Payet Marseille, 39, M(CLR),FW",9(15),828,4,3,-,-,1.2,80.3,0.2,2,6.67
"197Bafodé DiakitéLille, 25, D(CR)","Bafodé Diakité Lille, 25, D(CR)",29(4),2656,3,-,6,-,0.6,89.8,1.2,1,6.66
"198Chrislain MatsimaMonaco, 23, D(C)","Chrislain Matsima Monaco, 23, D(C)",5(3),446,-,1,-,-,0.4,86.3,2.1,1,6.66
"199Jeanuël BelocianRennes, 21, D(CL)","Jeanuël Belocian Rennes, 21, D(CL)",6(2),508,-,-,1,-,0.1,89.6,0.9,-,6.66
"200Quentin BernardAuxerre, 36, D(L)","Quentin Bernard Auxerre, 36, D(L)",7,630,-,1,-,-,-,81.9,0.4,-,6.66
"201Lilian BrassierBrest, 26, D(CL)","Lilian Brassier Brest, 26, D(CL)",35(1),3094,-,-,5,-,0.6,78.2,1.7,-,6.66
"202Anthony RouaultToulouse, 24, D(C)","Anthony Rouault Toulouse, 24, D(C)",37,3316,2,-,2,1,0.5,87.5,2.4,2,6.65
"203Maximiliano CaufriezClermont Foot, 29, D(CR)","Maximiliano Caufriez Clermont Foot, 29, D(CR)",25(1),2224,1,-,8,1,0.5,88.7,0.8,1,6.65
"204Cheick KeitaReims, 23, D(C)","Cheick Keita Reims, 23, D(C)",8(1),688,-,-,1,-,0.3,87.4,1.0,-,6.65
"205Maxime Le MarchandStrasbourg, 36, D(CL)","Maxime Le Marchand Strasbourg, 36, D(CL)",23(3),2018,-,-,4,1,0.3,79.9,2.3,-,6.65
