Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"288Abel BretonesOsasuna, 25, D(L),M(L)","Abel Bretones Osasuna, 25, D(L),M(L)",20(15),2068,2,-,3,-,0.3,76.3,0.6,-,6.5
"289Juanma HerzogLas Palmas, 21, D(C)","Juanma Herzog Las Palmas, 21, D(C)",15(4),1316,-,-,1,-,0.6,87.2,2.4,-,6.5
"290Alex KrálEspanyol, 27, M(C)","Alex Král Espanyol, 27, M(C)",29(8),2713,-,1,1,-,0.6,75.2,1.0,-,6.5
"291Aitor RuibalReal Betis, 30, D(R),M(LR),FW","Aitor Ruibal Real Betis, 30, D(R),M(LR),FW",13(16),1311,1,3,5,-,0.6,84.8,0.2,1,6.5
"292Iván SánchezReal Valladolid, 33, AM(CR)","Iván Sánchez Real Valladolid, 33, AM(CR)",11(21),1394,2,1,4,-,0.5,84.2,0.4,1,6.5
"293Kike PérezReal Valladolid, 29, M(C)","Kike Pérez Real Valladolid, 29, M(C)",14(5),1199,2,-,6,-,1.1,82.1,0.7,-,6.5
"294Adrián PicaDeportivo Alaves, 24, D(C)","Adrián Pica Deportivo Alaves, 24, D(C)",5(4),496,-,-,1,-,0.4,78.2,2.0,-,6.5
"295Omar MascarellMallorca, 33, D(C),DMC","Omar Mascarell Mallorca, 33, D(C),DMC",21(11),1989,1,-,5,1,0.3,84.8,1.4,1,6.49
"296Scott McKennaLas Palmas, 29, D(C)","Scott McKenna Las Palmas, 29, D(C)",28(1),2467,-,-,5,1,0.3,86.9,2.9,-,6.49
"297Fran VieitesReal Betis, 26, GK","Fran Vieites Real Betis, 26, GK",4,360,-,-,-,-,0.3,58.3,0.5,-,6.49
"298Óscar RodríguezLeganes, 27, AM(CLR),FW","Óscar Rodríguez Leganes, 27, AM(CLR),FW",12(17),1325,1,4,6,1,1.1,76.8,0.4,2,6.49
"299Sergio CamelloRayo Vallecano, 25, FW","Sergio Camello Rayo Vallecano, 25, FW",14(9),1140,3,2,2,-,1.4,80.6,0.5,-,6.48
"300Pablo DuránCelta Vigo, 24, AM(CL),FW","Pablo Durán Celta Vigo, 24, AM(CL),FW",15(12),1392,4,4,3,-,1.0,73.7,0.6,2,6.48
"301GaviBarcelona, 21, M(CL)","Gavi Barcelona, 21, M(CL)",14(12),1085,1,1,4,-,0.4,91.0,0.8,1,6.48
"302Antonio BlancoDeportivo Alaves, 25, DMC","Antonio Blanco Deportivo Alaves, 25, DMC",32(3),2737,-,1,9,1,0.7,80.8,0.8,1,6.48
"303Fran BeltránCelta Vigo, 27, DMC","Fran Beltrán Celta Vigo, 27, DMC",29(5),2431,2,1,3,-,0.7,89.0,0.6,-,6.48
"304Aritz ElustondoReal Sociedad, 32, D(CR)","Aritz Elustondo Real Sociedad, 32, D(CR)",16(6),1455,-,-,2,1,0.2,86.3,1.3,1,6.48
"305Umar SadiqValencia, 29, FW","Umar Sadiq Valencia, 29, FW",9(7),825,5,-,4,-,1.3,72.5,1.4,1,6.47
"306Vitor RoqueReal Betis, 21, FW","Vitor Roque Real Betis, 21, FW",14(8),1238,4,-,4,-,1.9,73.4,0.7,1,6.47
"307Selim AmallahReal Valladolid, 29, AM(CL),FW","Selim Amallah Real Valladolid, 29, AM(CL),FW",18(6),1388,3,1,6,-,0.9,83.4,0.2,-,6.47
"308JuanpeGirona, 34, D(C)","Juanpe Girona, 34, D(C)",8(4),725,-,-,2,-,0.2,87.5,2.1,-,6.47
"309Fer LópezCelta Vigo, 21, AM(CR)","Fer López Celta Vigo, 21, AM(CR)",7(10),669,2,-,2,-,1.2,86.6,0.1,-,6.47
"310Marc-André ter StegenBarcelona, 33, GK","Marc-André ter Stegen Barcelona, 33, GK",8,677,-,-,-,-,-,91.5,0.3,-,6.46
"311Javi HernándezLeganes, 27, D(CL)","Javi Hernández Leganes, 27, D(CL)",27(4),2391,2,1,6,-,0.5,77.2,0.7,1,6.46
"312Toni MartínezDeportivo Alaves, 28, FW","Toni Martínez Deportivo Alaves, 28, FW",9(19),1007,4,-,1,-,1.6,60.3,2.8,-,6.46
"313Jorge HerrandoOsasuna, 25, D(C)","Jorge Herrando Osasuna, 25, D(C)",15(3),1364,1,-,3,-,0.7,86.1,1.6,1,6.46
"314Albert Sambi LokongaSevilla, 26, DMC","Albert Sambi Lokonga Sevilla, 26, DMC",16(6),1474,-,2,4,-,0.6,89.6,1.3,-,6.46
"315Mikel OyarzabalReal Sociedad, 29, AM(CLR),FW","Mikel Oyarzabal Real Sociedad, 29, AM(CLR),FW",28(7),2263,9,3,4,1,1.2,74.3,0.9,2,6.46
"316Adrià AltiLeganes, 25, D(R),M(R)","Adrià Alti Leganes, 25, D(R),M(R)",19(3),1636,-,-,6,-,0.3,81.5,0.5,1,6.45
"317Carles PérezGetafe, 28, M(CR),FW","Carles Pérez Getafe, 28, M(CR),FW",15(12),1432,3,-,2,-,1.3,73.5,0.5,-,6.45
