Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"354Francesco RossiAtalanta, 34, Goalkeeper","Francesco Rossi Atalanta, 34, Goalkeeper",0(1),4,-,-,-,-,-,-,-,-,6.4
"355Ibrahim SulemanaCagliari, 22, DMC","Ibrahim Sulemana Cagliari, 22, DMC",16(5),1345,2,-,4,-,0.6,82.3,0.6,-,6.4
"356Simone ScuffetCagliari, 29, GK","Simone Scuffet Cagliari, 29, GK",31,2790,-,-,3,-,-,62,0.1,-,6.4
"357Berkan KutluGenoa, 28, D(L),DMC","Berkan Kutlu Genoa, 28, D(L),DMC",0(6),193,-,-,-,-,0.7,78.8,0.3,-,6.4
"358Arkadiusz MilikJuventus, 32, AM(C),FW","Arkadiusz Milik Juventus, 32, AM(C),FW",7(25),902,4,1,2,1,1.2,81.1,0.8,1,6.4
"359Antonio MiranteAC Milan, 42, GK","Antonio Mirante AC Milan, 42, GK",2,178,-,-,-,-,-,73.5,1,-,6.4
"360Filippo RanocchiaEmpoli, 24, M(C)","Filippo Ranocchia Empoli, 24, M(C)",5(4),479,-,-,3,-,0.7,73,0.7,-,6.39
"361Rolando MandragoraFiorentina, 28, DMC","Rolando Mandragora Fiorentina, 28, DMC",16(17),1586,3,3,5,-,0.9,82.3,1,1,6.39
"362Valentín CarboniMonza, 21, AM(C)","Valentín Carboni Monza, 21, AM(C)",10(21),1160,2,3,2,-,0.7,85.2,0.1,-,6.39
"363Paul PogbaJuventus, 33, M(CL)","Paul Pogba Juventus, 33, M(CL)",0(2),52,-,-,-,-,-,79.4,0.5,-,6.39
"364Rares BurneteLecce, 22, Forward","Rares Burnete Lecce, 22, Forward",0(1),7,-,1,-,-,-,100.0,-,-,6.39
"365Lorenzo ColomboMonza, 24, AM(C),FW","Lorenzo Colombo Monza, 24, AM(C),FW",16(9),1367,4,1,3,-,1.5,70.3,0.8,1,6.39
"366Federico BaschirottoLecce, 29, D(C)","Federico Baschirotto Lecce, 29, D(C)",37,3295,-,1,3,1,0.5,84.1,2.5,-,6.39
"367Darko LazovicVerona, 35, M(CLR)","Darko Lazovic Verona, 35, M(CLR)",22(10),1944,3,2,-,1,1.1,70.2,0.3,-,6.38
"368Davide FaraoniFiorentina, 34, D(R),M(R)","Davide Faraoni Fiorentina, 34, D(R),M(R)",4(4),391,-,1,-,-,0.4,81.0,0.5,-,6.38
"369Gianluca LapadulaCagliari, 36, FW","Gianluca Lapadula Cagliari, 36, FW",14(9),1207,3,1,3,-,1.5,72.4,0.9,2,6.38
"370Cristian VolpatoSassuolo, 22, AM(R)","Cristian Volpato Sassuolo, 22, AM(R)",5(17),634,1,-,1,-,0.5,71.3,0.3,-,6.38
"371Danilo CataldiLazio, 31, M(C)","Danilo Cataldi Lazio, 31, M(C)",15(13),1362,1,-,8,-,0.4,87.9,0.2,-,6.38
"372Mattia CaldaraAC Milan, 31, D(C)","Mattia Caldara AC Milan, 31, D(C)",0(1),32,-,-,-,-,1.0,83.3,2.0,-,6.38
"373Marco BrescianiniFrosinone, 26, M(C)","Marco Brescianini Frosinone, 26, M(C)",24(12),2324,4,2,1,-,0.9,79.9,0.6,-,6.38
"374Joan GonzálezLecce, 24, M(C)","Joan González Lecce, 24, M(C)",13(16),1287,1,1,6,-,0.4,76.6,1.0,-,6.38
"375Andrea PetagnaCagliari, 30, FW","Andrea Petagna Cagliari, 30, FW",13(5),1000,1,1,2,-,1.1,71.5,1.5,-,6.38
"376Yunus MusahAC Milan, 23, M(CR)","Yunus Musah AC Milan, 23, M(CR)",13(17),1468,-,2,5,-,0.5,89.0,0.5,-,6.38
"377El Bilal TouréAtalanta, 24, AM(L),FW","El Bilal Touré Atalanta, 24, AM(L),FW",3(8),388,2,-,2,-,1.1,74.2,1.3,-,6.38
"378Festy EboseleUdinese, 23, D(R),M(R)","Festy Ebosele Udinese, 23, D(R),M(R)",20(11),1707,-,-,4,1,0.5,71.4,0.5,-,6.37
"379Edoardo GoldanigaCagliari, 32, D(CR)","Edoardo Goldaniga Cagliari, 32, D(CR)",12(1),1013,-,-,3,-,0.3,81.0,1.4,-,6.37
"380Chris SmallingRoma, 36, D(CR)","Chris Smalling Roma, 36, D(CR)",4(4),389,-,-,-,-,0.1,86.4,3.0,-,6.37
"381Nedim BajramiSassuolo, 27, AM(CLR)","Nedim Bajrami Sassuolo, 27, AM(CLR)",15(13),1315,2,2,-,-,1.1,82.2,0.1,1,6.37
"382Gianluca GaetanoNapoli, 25, AM(C)","Gianluca Gaetano Napoli, 25, AM(C)",1(8),156,1,-,1,-,1.0,88.2,0.1,-,6.37
"383Luca PellegriniLazio, 27, D(L),M(L)","Luca Pellegrini Lazio, 27, D(L),M(L)",8(11),782,1,-,5,1,0.4,76.6,0.7,1,6.37
"384Giuseppe PezzellaEmpoli, 28, D(L),M(L)","Giuseppe Pezzella Empoli, 28, D(L),M(L)",14(5),1087,-,-,4,-,0.2,77.8,0.7,-,6.37
"385Matheus HenriqueSassuolo, 28, M(CR)","Matheus Henrique Sassuolo, 28, M(CR)",27(4),2503,2,2,6,1,0.6,83.1,0.5,-,6.36
"386Kingsley EhizibueUdinese, 30, D(R),M(R)","Kingsley Ehizibue Udinese, 30, D(R),M(R)",11(12),958,-,1,4,-,0.8,70.4,0.5,-,6.36
"387Mohamed KabaLecce, 24, DMC","Mohamed Kaba Lecce, 24, DMC",15(8),1386,-,-,2,1,0.6,81.0,1,-,6.36
"388Stefano SensiInter, 30, AM(C)","Stefano Sensi Inter, 30, AM(C)",0(4),44,-,1,-,-,0.5,90.2,-,-,6.36
"389Loum TchaounaSalernitana, 22, AM(CR),FW","Loum Tchaouna Salernitana, 22, AM(CR),FW",23(10),2098,4,3,4,-,1.3,71.6,0.8,1,6.36
"390Rafael TolóiAtalanta, 35, D(C)","Rafael Tolói Atalanta, 35, D(C)",10(8),962,-,-,4,1,0.2,83.4,1,-,6.36
"391Boulaye DiaSalernitana, 29, AM(CLR),FW","Boulaye Dia Salernitana, 29, AM(CLR),FW",12(5),1143,4,-,1,-,1.7,84.3,0.4,1,6.36
"392Oussama El AzzouziBologna, 24, DMC","Oussama El Azzouzi Bologna, 24, DMC",5(13),537,2,2,4,-,0.1,90.5,0.3,-,6.36
"393Josh DoigVerona, 23, D(CL),M(L)","Josh Doig Verona, 23, D(CL),M(L)",11(1),839,-,-,2,-,0.4,80.0,0.4,-,6.36
"394Sardar AzmounRoma, 31, AM(C),FW","Sardar Azmoun Roma, 31, AM(C),FW",3(20),570,3,-,4,-,0.7,69.3,0.6,-,6.35
"395Lassana CoulibalySalernitana, 30, M(CLR)","Lassana Coulibaly Salernitana, 30, M(CLR)",25(3),2088,-,1,5,-,0.5,85.4,1.1,-,6.35
"396Elseid HysajLazio, 32, D(LR),M(R)","Elseid Hysaj Lazio, 32, D(LR),M(R)",11(11),1197,-,-,2,-,0.1,84.8,0.6,-,6.35
"397Hans Nicolussi CavigliaJuventus, 25, M(C)","Hans Nicolussi Caviglia Juventus, 25, M(C)",3(5),266,-,1,1,-,0.4,84.6,0.3,-,6.35
"398Boris RadunovicCagliari, 29, GK","Boris Radunovic Cagliari, 29, GK",7,630,-,-,-,-,-,72.8,0.3,-,6.35
"399Ahmed ToubaLecce, 28, D(C)","Ahmed Touba Lecce, 28, D(C)",3(3),275,-,-,1,-,0.2,83.9,0.8,-,6.35
"400Tommaso BaldanziRoma, 23, AM(CR)","Tommaso Baldanzi Roma, 23, AM(CR)",6(7),516,-,-,2,-,1.2,86.6,-,-,6.35
