Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"223Joël VeltmanBrighton, 34, D(CR),M(R)","Joël Veltman Brighton, 34, D(CR),M(R)",25(6),2196,1,1,6,-,0.5,85.2,0.8,-,6.59
"224Anthony MartialMan Utd, 30, AM(LR),FW","Anthony Martial Man Utd, 30, AM(LR),FW",11(10),980,6,2,-,-,1.3,81.6,0.5,-,6.59
"225Manuel AkanjiMan City, 30, D(CLR),DMC","Manuel Akanji Man City, 30, D(CLR),DMC",24(5),2287,-,1,2,-,0.5,93.3,0.8,-,6.59
"226Harry MaguireMan Utd, 33, D(C)","Harry Maguire Man Utd, 33, D(C)",8(8),762,-,-,4,-,0.2,85.4,1.6,-,6.59
"227Dan BentleyWolves, 32, GK","Dan Bentley Wolves, 32, GK",2,180,-,-,-,-,-,72.7,-,-,6.59
"228Vitalii MykolenkoEverton, 26, D(CL),M(L)","Vitalii Mykolenko Everton, 26, D(CL),M(L)",30(4),2657,-,-,4,-,0.3,75.6,0.8,-,6.58
"229Kyle Walker-PetersSouthampton, 29, D(CLR),M(LR)","Kyle Walker-Peters Southampton, 29, D(CLR),M(LR)",30(1),2653,1,-,4,-,0.4,78.9,0.5,1,6.58
"230Chris MephamBournemouth, 28, D(C)","Chris Mepham Bournemouth, 28, D(C)",24(2),2198,-,-,7,-,0.3,83.7,2,-,6.58
"231Caoimhín KelleherLiverpool, 27, GK","Caoimhín Kelleher Liverpool, 27, GK",1,90,-,-,-,-,-,94.1,-,-,6.58
"232Luis SinisterraLeeds, 26, AM(LR),FW","Luis Sinisterra Leeds, 26, AM(LR),FW",13(6),875,5,-,1,1,1.5,81.5,0.9,1,6.58
"233Joe WorrallNottingham Forest, 29, D(C)","Joe Worrall Nottingham Forest, 29, D(C)",21(9),2217,1,-,6,-,0.2,78.5,1.8,-,6.58
"234Ashley YoungAston Villa, 40, D(LR),M(LR)","Ashley Young Aston Villa, 40, D(LR),M(LR)",23(6),2039,1,-,7,-,0.5,77.5,0.5,-,6.58
"235Pontus JanssonBrentford, 35, D(C)","Pontus Jansson Brentford, 35, D(C)",9(3),725,1,-,-,-,0.3,80.0,2,-,6.57
"236Ezri KonsaAston Villa, 28, D(CR)","Ezri Konsa Aston Villa, 28, D(CR)",37(1),3323,-,-,6,-,0.2,88.9,1.5,-,6.57
"237Dean HendersonNottingham Forest, 29, GK","Dean Henderson Nottingham Forest, 29, GK",18,1620,-,-,2,-,-,56.8,0.1,2,6.57
"238Jordan HendersonLiverpool, 35, D(C),M(CLR)","Jordan Henderson Liverpool, 35, D(C),M(CLR)",23(12),2075,-,2,2,-,0.7,84.9,0.3,-,6.57
"239Danny IngsAston Villa, 33, AM(C),FW","Danny Ings Aston Villa, 33, AM(C),FW",8(10),819,6,-,3,-,1.5,72.2,0.9,1,6.57
"240Séamus ColemanEverton, 37, D(CR),M(R)","Séamus Coleman Everton, 37, D(CR),M(R)",20(3),1667,1,-,1,-,0.3,75.5,0.8,1,6.57
"241Ryan ChristieBournemouth, 31, M(CLR),FW","Ryan Christie Bournemouth, 31, M(CLR),FW",22(10),1842,1,1,2,-,1,82.7,0.5,-,6.56
"242Rico LewisMan City, 21, D(LR),M(C)","Rico Lewis Man City, 21, D(LR),M(C)",10(4),905,-,-,1,-,0.4,92.2,-,-,6.56
"243Matty CashAston Villa, 28, D(R),M(CLR)","Matty Cash Aston Villa, 28, D(R),M(CLR)",20(6),1821,-,1,4,-,0.3,78.6,0.5,1,6.56
"244Roméo LaviaSouthampton, 22, DMC","Roméo Lavia Southampton, 22, DMC",26(3),2230,1,-,9,-,0.4,86.4,0.3,-,6.56
"245Ruben Loftus-CheekChelsea, 30, M(CLR),FW","Ruben Loftus-Cheek Chelsea, 30, M(CLR),FW",19(6),1543,-,1,1,-,0.4,88.6,0.9,-,6.56
"246João GomesWolves, 25, M(C)","João Gomes Wolves, 25, M(C)",7(4),651,1,-,5,-,0.4,79.5,0.6,-,6.56
"247Boubacar KamaraAston Villa, 26, D(CL),DMC","Boubacar Kamara Aston Villa, 26, D(CL),DMC",21(3),1779,-,1,4,-,0.2,84.9,0.9,-,6.56
