Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"108Junior Dina EbimbeEintracht Frankfurt, 25, M(CLR)","Junior Dina Ebimbe Eintracht Frankfurt, 25, M(CLR)",25(6),1972,5,3,5,-,1.7,76.2,1.4,2,6.77
"109Max FinkgräfeFC Koln, 22, D(L),M(L)","Max Finkgräfe FC Koln, 22, D(L),M(L)",18(6),1757,1,-,4,-,0.5,72.5,1.0,2,6.77
"110Julian WeiglBorussia M.Gladbach, 30, D(C),DMC","Julian Weigl Borussia M.Gladbach, 30, D(C),DMC",31,2766,2,3,10,-,0.6,89.3,0.8,-,6.77
"111Michael GregoritschFreiburg, 32, AM(CLR),FW","Michael Gregoritsch Freiburg, 32, AM(CLR),FW",19(13),1686,7,4,2,-,2.3,62.3,2.8,4,6.77
"112Maximilian ArnoldWolfsburg, 31, M(CR)","Maximilian Arnold Wolfsburg, 31, M(CR)",27(3),2504,2,1,9,-,1.1,85.5,0.5,1,6.76
"113Ellyes SkhiriEintracht Frankfurt, 30, DMC","Ellyes Skhiri Eintracht Frankfurt, 30, DMC",24(3),2170,2,1,1,-,0.7,84.4,1.1,-,6.76
"114Mathys TelBayern, 20, AM(L),FW","Mathys Tel Bayern, 20, AM(L),FW",6(24),1031,7,5,2,-,1.4,85.0,0.5,-,6.76
"115Patrik SchickLeverkusen, 30, AM(R),FW","Patrik Schick Leverkusen, 30, AM(R),FW",12(8),1065,7,-,1,-,2.0,79.8,1.2,1,6.76
"116Nico ElvediBorussia M.Gladbach, 29, D(CLR)","Nico Elvedi Borussia M.Gladbach, 29, D(CLR)",28(2),2485,2,1,5,-,0.6,88.8,2.5,-,6.76
"117Raphaël GuerreiroBayern, 32, D(LR),M(CL)","Raphaël Guerreiro Bayern, 32, D(LR),M(CL)",13(7),1194,3,-,2,-,0.9,88.6,0.1,1,6.76
"118Jens StageWerder Bremen, 29, DMC","Jens Stage Werder Bremen, 29, DMC",26(4),2333,3,1,5,1,1.3,75.0,2.2,-,6.75
"119Eren DinkçiFC Heidenheim, 24, AM(CLR)","Eren Dinkçi FC Heidenheim, 24, AM(CLR)",33,2677,10,4,8,-,1.5,65.4,0.4,1,6.75
"120Jonathan BurkardtMainz, 25, AM(CR),FW","Jonathan Burkardt Mainz, 25, AM(CR),FW",18(3),1542,8,2,2,-,2.0,72.0,0.7,1,6.75
"121Konrad LaimerBayern, 28, D(LR),M(CR)","Konrad Laimer Bayern, 28, D(LR),M(CR)",18(11),1770,-,3,3,-,0.6,90.2,0.4,-,6.75
"122Lee Jae-SungMainz, 33, AM(CLR),FW","Lee Jae-Sung Mainz, 33, AM(CLR),FW",24(5),2128,6,3,6,-,1.3,79.5,1.2,1,6.75
