"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Jordan Siebatcheu,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,28,United States,Reims,,"
"Aron Dønnum,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,26,Norway,Toulouse,,"
"Pol Lirola,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,27,Spain,Marseille,,"
"Moïse Bombito,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,24,Canada,Nice,,"
"Abdoulaye Touré,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,30,Guinea,Le Havre,,"
"Fabien Centonze,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,29,France,Nantes,,"
"Gautier Lloris,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,29,France,Le Havre,,"
"Philipp Köhn,,""$ 27,191"",""$ 1,413,924"",,""$ 1,413,924"",""$ 1,413,924"",Active,K,26,Switzerland,Monaco,,"
"Al Musrati,,""$ 27,191"",""$ 1,413,924"",,""$ 1,413,924"",""$ 1,413,924"",Loan,M,28,Libya,Monaco,,"
"Rémy Cabella,,""$ 17,185"",""$ 893,600"",,""$ 893,600"",""$ 893,600"",Active,F,34,France,Lille,,"
"Jordan Ferri,,""$ 17,185"",""$ 893,600"",,""$ 893,600"",""$ 893,600"",Active,M,32,France,Montpellier,,"
"Ismaël Koné,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Loan,M,22,Canada,Rennes,,"
"Anass Zaroury,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,24,Morocco,Lens,,"
"Loïs Diony,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,32,France,Angers,,"
"Zinedine Ferhat,,""$ 15,879"",""$ 825,731"",,""$ 825,731"",""$ 825,731"",Active,F,31,Algeria,Angers,,"
"Téji Savanier,,""$ 15,879"",""$ 825,731"",,""$ 825,731"",""$ 825,731"",Active,F,33,France,Montpellier,,"
"Radoslaw Majecki,,""$ 25,016"",""$ 1,300,810"",,""$ 1,300,810"",""$ 1,300,810"",Active,K,25,Poland,Monaco,,"
"Nicolas Pallois,,""$ 15,879"",""$ 825,731"",,""$ 825,731"",""$ 825,731"",Active,D,37,France,Nantes,,"
"Nampalys Mendy,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Active,M,32,Senegal,Lens,,"
"Azor Matusiwa,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Active,M,26,Netherlands,Rennes,,"
