"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ibrahim Salah,,""$ 12,279"",""$ 638,525"",,""$ 638,525"",""$ 657,436"",Active,F,21,Morocco,Rennes,,"
"Matz Sels,,""$ 12,279"",""$ 638,525"",,""$ 638,525"",""$ 657,436"",Active,K,30,Belgium,Strasbourg,,"
"Andrei Girotto,,""$ 12,279"",""$ 638,525"",,""$ 638,525"",""$ 657,436"",Active,D,30,Brazil,Nantes,,"
"Yan Valery,,""$ 12,279"",""$ 638,525"",,""$ 638,525"",""$ 657,436"",Active,D,23,Tunisia,Angers,,"
"Damien Da Silva,,""$ 12,279"",""$ 638,525"",,""$ 638,525"",""$ 657,436"",Active,D,34,France,Lyon,,"
"Adam Buksa,,""$ 11,655"",""$ 606,057"",,""$ 606,057"",""$ 624,007"",Active,F,26,Poland,Lens,,"
"Alban Lafont,,""$ 11,655"",""$ 606,057"",,""$ 606,057"",""$ 624,007"",Active,K,24,France,Nantes,,"
"Julian Pollersbeck,,""$ 11,655"",""$ 606,057"",,""$ 606,057"",""$ 624,007"",Loan,K,28,Germany,Lorient,,"
"Eduard Sobol,,""$ 11,447"",""$ 595,235"",,""$ 595,235"",""$ 612,864"",Active,D,27,Ukraine,Strasbourg,,"
"Leonardo Balerdi,,""$ 11,239"",""$ 584,412"",,""$ 584,412"",""$ 601,721"",Active,D,24,Argentina,Marseille,,"
"Adrien Hunou,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 590,578"",Active,F,29,France,Angers,,"
"Iké Ugbo,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 590,578"",Active,F,24,Canada,Troyes,,"
"Florian Tardieu,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 590,578"",Active,M,30,France,Troyes,,"
