"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kylian Mbappé,,""$ 824,145"",""$ 42,855,556"",""$ 35,712,963"",""$ 78,568,519"",""$ 79,310,069"",Active,F,25,France,PSG,,"
"Alban Lafont,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,K,25,France,Nantes,,"
"Arnaud Kalimuendo,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,F,22,France,Rennes,,"
"Jordan Amavi,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Loan,D,29,France,Brest,,"
"Jordan Amavi,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Inactive,D,29,France,Marseille,,"
"Pape Gueye,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,M,25,Senegal,Marseille,,"
"Ruben Aguilar,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,D,30,France,Lens,,"
"Mohamed Daramy,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,F,22,Denmark,Reims,,"
"Ângelo Gabriel,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Loan,F,19,Brazil,Strasbourg,,"
"Kevin Danso,,""$ 17,274"",""$ 898,235"",,""$ 898,235"",""$ 906,713"",Active,D,25,Austria,Lens,,"
"Hugo Magnetti,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 873,940"",Active,M,25,France,Brest,,"
"Gautier Lloris,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 873,940"",Active,D,28,France,Le Havre,,"
"Abdoulaye Touré,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 873,940"",Active,M,29,Guinea,Le Havre,,"
"Jean-Victor Makengo,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 873,940"",Active,M,25,France,Lorient,,"
"Silvan Hefti,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 873,940"",Loan,D,26,Switzerland,Montpellier,,"
"Nuno Mendes,,""$ 16,441"",""$ 854,947"",,""$ 854,947"",""$ 863,016"",Active,D,21,Portugal,PSG,,"
"Jordan Ferri,,""$ 16,441"",""$ 854,947"",,""$ 854,947"",""$ 863,016"",Active,M,31,France,Montpellier,,"
"Rémy Cabella,,""$ 16,441"",""$ 854,947"",,""$ 854,947"",""$ 863,016"",Active,F,33,France,Lille,,"
"Kévin Gameiro,,""$ 16,025"",""$ 833,302"",,""$ 833,302"",""$ 841,167"",Active,F,36,France,Strasbourg,,"
"Téji Savanier,,""$ 15,193"",""$ 790,014"",,""$ 790,014"",""$ 797,470"",Active,F,32,France,Montpellier,,"
"Radoslaw Majecki,,""$ 23,934"",""$ 1,244,543"",,""$ 1,244,543"",""$ 1,256,289"",Active,K,24,Poland,Monaco,,"
"Nicolas Pallois,,""$ 15,193"",""$ 790,014"",,""$ 790,014"",""$ 797,470"",Active,D,36,France,Nantes,,"
"Azor Matusiwa,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 786,546"",Active,M,25,Netherlands,Rennes,,"
"Nampalys Mendy,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 786,546"",Active,M,31,Senegal,Lens,,"
"Habib Diarra,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 764,698"",Active,F,20,France,Strasbourg,,"
"Frédéric Guilbert,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 764,698"",Active,D,29,France,Strasbourg,,"
"Aron Dønnum,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 764,698"",Active,F,25,Norway,Toulouse,,"
"Arnau Tenas,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,K,22,Spain,PSG,,"
"Edon Zhegrova,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,F,24,Kosovo,Lille,,"
"Quentin Merlin,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,D,21,France,Marseille,,"
"Alexis Claude-Maurice,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,F,25,France,Nice,,"
"Mohamed Camara,,""$ 21,644"",""$ 1,125,499"",,""$ 1,125,499"",""$ 1,136,122"",Active,M,24,Mali,Monaco,,"
"Junya Ito,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,F,30,Japan,Reims,,"
"Amine Gouiri,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,F,23,Algeria,Rennes,,"
"Yunis Abdelhamid,,""$ 13,736"",""$ 714,259"",,""$ 714,259"",""$ 721,001"",Active,D,36,Morocco,Reims,,"
"Alidu Seidu,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 710,076"",Active,D,23,Ghana,Rennes,,"
"Jean-Clair Todibo,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 710,076"",Active,D,24,France,Nice,,"
"Emanuel Emegha,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 710,076"",Active,F,20,Netherlands,Strasbourg,,"
"Nicolas Cozza,,""$ 13,111"",""$ 681,793"",,""$ 681,793"",""$ 688,228"",Loan,D,25,France,Nantes,,"
"Philipp Köhn,,""$ 20,812"",""$ 1,082,211"",,""$ 1,082,211"",""$ 1,092,425"",Active,K,25,Switzerland,Monaco,,"
"Lucas Chevalier,,""$ 13,111"",""$ 681,793"",,""$ 681,793"",""$ 688,228"",Active,K,22,France,Lille,,"
"Faris Moumbagna,,""$ 12,695"",""$ 660,149"",,""$ 660,149"",""$ 666,379"",Active,F,23,Cameroon,Marseille,,"
"Fabian Rieder,,""$ 12,695"",""$ 660,149"",,""$ 660,149"",""$ 666,379"",Active,F,21,Switzerland,Rennes,,"
"Eray Cömert,,""$ 12,695"",""$ 660,149"",,""$ 660,149"",""$ 666,379"",Loan,D,25,Switzerland,Nantes,,"
"Aiyegun Tosin,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 655,455"",Active,F,25,Benin,Lorient,,"
"Maxime Colin,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 655,455"",Active,D,32,France,Metz,,"
"Maxime Busi,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 655,455"",Active,D,24,Belgium,Reims,,"
"Kelvin Amian,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 655,455"",Active,D,25,France,Nantes,,"
"Niklas Schmidt,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 655,455"",Active,F,25,Germany,Toulouse,,"
"Frank Magri,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 655,455"",Active,F,24,Cameroon,Toulouse,,"
"Ibrahim Salah,,""$ 12,279"",""$ 638,504"",,""$ 638,504"",""$ 644,531"",Active,F,22,Morocco,Rennes,,"
"Tino Kadewere,,""$ 12,279"",""$ 638,504"",,""$ 638,504"",""$ 644,531"",Loan,F,28,Zimbabwe,Nantes,,"
"Yusuf Yazıcı,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 633,607"",Active,F,27,Turkey,Lille,,"
"Georges Mikautadze,,""$ 11,863"",""$ 616,860"",,""$ 616,860"",""$ 622,682"",Loan,F,23,Georgia,Metz,,"
"Adryelson,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 600,834"",Active,D,25,Brazil,Lyon,,"
"Hákon Arnar Haraldsson,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 600,834"",Active,F,20,Iceland,Lille,,"
"Ronaël Pierre-Gabriel,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 600,834"",Active,D,25,France,Nantes,,"
"Benjamin Stambouli,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 600,834"",Active,M,33,France,Reims,,"
"Michael Murillo,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 600,834"",Active,D,27,Panama,Marseille,,"
"Adrien Truffert,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 600,834"",Active,D,22,France,Rennes,,"
"Leonardo Balerdi,,""$ 11,238"",""$ 584,394"",,""$ 584,394"",""$ 589,910"",Active,D,25,Argentina,Marseille,,"
"Jean-Eudes Aholou,,""$ 10,614"",""$ 551,928"",,""$ 551,928"",""$ 557,137"",Active,M,29,Cote d'Ivoire,Strasbourg,,"
"Jean-Charles Castelletto,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 546,213"",Active,D,29,Cameroon,Nantes,,"
