"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Jurrien Timber,,""$ 63,158"",""$ 3,284,203"",""$ 1,098,994"",""$ 4,383,197"",""$ 4,551,401"",Active,D,22,Netherlands,Arsenal,,"
"Mohammed Kudus,,""$ 63,158"",""$ 3,284,203"",,""$ 3,284,203"",""$ 3,410,233"",Active,F,23,Ghana,West Ham,,"
"David Raya,,""$ 59,717"",""$ 3,105,297"",,""$ 3,105,297"",""$ 3,224,462"",Loan,K,28,Spain,Arsenal,,"
"Radu Drăgușin,,""$ 59,717"",""$ 3,105,297"",,""$ 3,105,297"",""$ 3,224,462"",Active,D,21,Romania,Tottenham,,"
"Pedro Porro,,""$ 59,717"",""$ 3,105,297"",,""$ 3,105,297"",""$ 3,224,462"",Active,D,24,Spain,Tottenham,,"
"Michail Antonio,,""$ 59,717"",""$ 3,105,297"",""$ 549,497"",""$ 3,654,794"",""$ 3,795,046"",Active,F,33,Jamaica,West Ham,,"
"Rasmus Højlund,,""$ 59,717"",""$ 3,105,297"",,""$ 3,105,297"",""$ 3,224,462"",Active,F,20,Denmark,Manchester United,,"
"Diogo Dalot,,""$ 59,717"",""$ 3,105,297"",""$ 549,497"",""$ 3,654,794"",""$ 3,795,046"",Active,D,24,Portugal,Manchester United,,"
"Joe Gomez,,""$ 59,717"",""$ 3,105,297"",,""$ 3,105,297"",""$ 3,224,462"",Active,D,26,England,Liverpool,,"
"Callum Hudson-Odoi,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,23,England,Nottingham Forest,,"
"Axel Disasi,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,25,France,Chelsea,,"
"Felipe,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,34,Brazil,Nottingham Forest,,"
"Morgan Gibbs-White,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,24,England,Nottingham Forest,,"
"Lewis Dunk,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,32,England,Brighton,,"
"Kaoru Mitoma,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,26,Japan,Brighton,,"
"Joachim Andersen,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,27,Denmark,Crystal Palace,,"
"Cole Palmer,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,21,England,Chelsea,,"
"Michael Keane,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,31,England,Everton,,"
"João Palhinha,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,M,28,Portugal,Fulham,,"
"Ben Davies,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,30,Wales,Tottenham,,"
"Brennan Johnson,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,22,Wales,Tottenham,,"
"Joe Willock,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,M,24,England,Newcastle,,"
"Harvey Barnes,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,26,England,Newcastle,,"
"Nélson Semedo,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,30,Portugal,Wolverhampton,,"
"Justin Kluivert,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,24,Netherlands,Bournemouth,,"
"Toti Gomes,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,25,Portugal,Wolverhampton,,"
"Alex Iwobi,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,27,Nigeria,Fulham,,"
"Matty Cash,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,D,26,Poland,Aston Villa,,"
"Chris Wood,,""$ 56,277"",""$ 2,926,391"",,""$ 2,926,391"",""$ 3,038,690"",Active,F,32,New Zealand,Nottingham Forest,,"
"Destiny Udogie,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,D,21,Italy,Tottenham,,"
"Konstantinos Tsimikas,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,D,27,Greece,Liverpool,,"
"Douglas Luiz,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,M,25,Brazil,Aston Villa,,"
"Emiliano Buendía,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,F,27,Argentina,Aston Villa,,"
"Ezri Konsa,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,D,26,England,Aston Villa,,"
"Jean-Ricner Bellegarde,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,M,25,France,Wolverhampton,,"
"Cédric Soares,,""$ 52,836"",""$ 2,747,485"",""$ 920,088"",""$ 3,667,573"",""$ 3,808,315"",Active,D,32,Portugal,Arsenal,,"
"Rodrigo Bentancur,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,M,26,Uruguay,Tottenham,,"
"Guglielmo Vicario,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,K,27,Italy,Tottenham,,"
"Fraser Forster,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,K,35,England,Tottenham,,"
"Ibrahim Sangaré,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,M,26,Cote d'Ivoire,Nottingham Forest,,"
"Tyrell Malacia,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,D,24,Netherlands,Manchester United,,"
"Ben Godfrey,,""$ 52,836"",""$ 2,747,485"",,""$ 2,747,485"",""$ 2,852,919"",Active,D,26,England,Everton,,"
"Cheick Doucouré,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,M,24,Mali,Crystal Palace,,"
"Jacob Ramsey,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,M,22,England,Aston Villa,,"
"Hee-chan Hwang,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,F,28,South Korea,Wolverhampton,,"
"Issa Diop,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,D,27,France,Fulham,,"
"Dominic Solanke,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,F,26,England,Bournemouth,,"
