Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Ionut Radu,Cremonese,6.88,810,,,9
Ciro Immobile,Lazio,6.88,2228,12.0,5.0,27(4)
Federico Dimarco,Inter,6.87,2089,4.0,3.0,26(7)
Stanislav Lobotka,Napoli,6.87,3113,1.0,1.0,34(4)
Pierluigi Gollini,Napoli,6.87,360,,,4
Theo HernándezAC,Milan,6.87,2777,4.0,3.0,32
Ibañez,Roma,6.87,2797,3.0,,32(1)
Amir Rrahmani,Napoli,6.87,2450,2.0,1.0,27(2)
Destiny Udogie,Udinese,6.87,2714,3.0,4.0,31(2)
Stefan de Vrij,Inter,6.87,1944,1.0,,22(5)
Matteo Pessina,Monza,6.86,2938,5.0,3.0,34(1)
Jaka Bijol,Udinese,6.86,2732,3.0,2.0,32
Alessio Romagnoli,Lazio,6.86,2925,2.0,,33(1)
Ivan Ilic,Torino,6.85,1180,2.0,2.0,13(1)
Mattia Perin,Juventus,6.85,947,,,10(1)
Guglielmo Vicario,Empoli,6.85,2784,,,31
Luigi Sepe,Salernitana,6.84,1530,,,17
Ángel Di María,Juventus,6.83,1364,4.0,4.0,15(11)
Morten Hjulmand,Lecce,6.82,2963,,4.0,34(1)
Junior MessiasAC,Milan,6.82,1511,5.0,2.0,19(6)
Rafael Tolói,Atalanta,6.82,2791,2.0,1.0,32
Antonio Sanabria,Torino,6.82,2442,12.0,4.0,28(5)
Rade KrunicAC,Milan,6.81,1659,,1.0,18(5)
Bryan Cristante,Roma,6.81,2945,1.0,1.0,34(2)
Ardian Ismajli,Empoli,6.8,2091,,,22(3)
Leo Østigård,Napoli,6.8,417,,,4(3)
Georgios Kyriakopoulos,Sassuolo,6.8,773,1.0,1.0,9(3)
Guillermo Ochoa,Salernitana,6.8,1800,,,20
Davide Zappacosta,Atalanta,6.8,1479,4.0,2.0,18(3)
Davide Frattesi,Sassuolo,6.8,2891,7.0,,35(1)
Lukasz Skorupski,Bologna,6.79,3330,,,37
Brahim DíazAC,Milan,6.79,1947,6.0,7.0,27(6)
Christian Kouamé,Fiorentina,6.79,1871,4.0,4.0,22(6)
Francesco Acerbi,Inter,6.79,2418,,2.0,25(6)
Nico González,Fiorentina,6.79,1355,6.0,1.0,13(11)
Stephan El Shaarawy,Roma,6.79,1523,7.0,2.0,14(15)
Michele Di Gregorio,Monza,6.79,3330,,1.0,37
Jérémie Boga,Atalanta,6.78,770,2.0,5.0,5(18)
Marcelo Brozovic,Inter,6.78,1769,3.0,5.0,19(9)
Nicolò Rovella,Monza,6.78,1749,1.0,2.0,21(4)
Emil Audero,Sampdoria,6.78,2250,,,25
Filip Kostic,Juventus,6.78,2582,3.0,8.0,33(4)
Marten de Roon,Atalanta,6.78,2966,3.0,1.0,34(1)
Nikola Milenkovic,Fiorentina,6.77,2136,2.0,1.0,23(4)
Davide CalabriaAC,Milan,6.77,1697,1.0,4.0,21(4)
Roberto Pereyra,Udinese,6.77,2837,5.0,7.0,33(1)
Wojciech Szczesny,Juventus,6.77,2473,,,28
Hirving Lozano,Napoli,6.77,1614,3.0,3.0,20(12)
Riccardo Orsolini,Bologna,6.77,2122,11.0,4.0,22(10)
Alessandro Buongiorno,Torino,6.77,2723,1.0,2.0,30(4)
Juan Jesus,Napoli,6.77,929,1.0,,10(5)
Gabriel Strefezza,Lecce,6.76,2464,8.0,4.0,30(5)
Malick ThiawAC,Milan,6.76,1364,,,15(5)
Edin Dzeko,Inter,6.75,1729,9.0,3.0,18(15)
Ivan Ilic,Verona,6.75,852,,1.0,10(1)
Dusan Vlahovic,Juventus,6.75,1932,10.0,2.0,22(5)
Tammy Abraham,Roma,6.75,2199,8.0,3.0,24(14)
Rodrigo Becão,Udinese,6.75,2487,2.0,1.0,28
Razvan Marin,Empoli,6.74,2539,2.0,4.0,28(5)
Marco Carnesecchi,Cremonese,6.74,2430,,1.0,27
Patrick Ciurria,Monza,6.74,2757,6.0,5.0,31(5)
Pasquale Mazzocchi,Salernitana,6.74,1968,2.0,3.0,23(4)
Nikola Vlasic,Torino,6.74,2732,5.0,6.0,29(5)
Patric,Lazio,6.74,1415,,,16(2)
Milan Djuric,Verona,6.74,1364,1.0,1.0,14(14)
Lewis Ferguson,Bologna,6.73,2324,7.0,,27(5)
Federico Gatti,Juventus,6.73,1446,,,16(2)
Michele Cerofolini,Fiorentina,6.72,450,,,5
André Onana,Inter,6.72,2160,,,24
Lassana Coulibaly,Salernitana,6.72,2901,3.0,3.0,34(1)
Marko Arnautovic,Bologna,6.71,1540,10.0,,18(3)
Rolando Mandragora,Fiorentina,6.71,1955,2.0,4.0,22(7)
Federico Baschirotto,Lecce,6.71,3330,3.0,,37
Berat Djimsiti,Atalanta,6.71,1799,,1.0,20(4)
Norbert Gyömbér,Salernitana,6.71,1755,,1.0,23(4)
Éderson,Atalanta,6.71,2226,1.0,1.0,25(10)
Alex Sandro,Juventus,6.7,1789,,1.0,21(4)
Lazar Samardzic,Udinese,6.7,1848,5.0,4.0,19(18)
Jerdy Schouten,Bologna,6.7,2516,,2.0,29(4)
Nicolò Casale,Lazio,6.69,2437,1.0,1.0,27(2)
Giacomo Bonaventura,Fiorentina,6.69,1914,5.0,1.0,21(9)
Alex Meret,Napoli,6.69,3060,,,34
Denzel Dumfries,Inter,6.69,2223,1.0,4.0,25(9)
Arkadiusz Milik,Juventus,6.69,1583,7.0,1.0,17(10)
Henrikh Mkhitaryan,Inter,6.69,1997,3.0,2.0,24(7)
Daniele Rugani,Juventus,6.69,563,,,6(3)
Adam Marusic,Lazio,6.69,2767,,2.0,31(2)
Alessandro Bastoni,Inter,6.68,2168,,2.0,26(3)
Samir Handanovic,Inter,6.68,1235,,,14
Antonio Candreva,Salernitana,6.68,2741,7.0,4.0,32(3)
Ola Aina,Torino,6.68,874,1.0,1.0,9(10)
Alessandro Tuia,Lecce,6.68,511,,,6(1)
Perr Schuurs,Torino,6.67,2334,,2.0,28(2)
Andrea Ranocchia,Monza,6.67,48,,,1
