"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Robert Lewandowski,,""$ 270,553"",""$ 14,068,743"",,""$ 14,068,743"",""$ 14,444,815"",Active,F,35,Poland,Barcelona,,"
"Asier Villalibre,,""$ 17,690"",""$ 919,879"",,""$ 919,879"",""$ 944,469"",Active,F,26,Spain,Athletic Club,,"
"Munir El Haddadi,,""$ 17,482"",""$ 909,057"",,""$ 909,057"",""$ 933,357"",Active,F,28,Morocco,Las Palmas,,"
"Unai Núñez,,""$ 17,066"",""$ 887,413"",,""$ 887,413"",""$ 911,134"",Loan,D,27,Spain,Celta Vigo,,"
"Guido Rodríguez,,""$ 17,066"",""$ 887,413"",,""$ 887,413"",""$ 911,134"",Active,M,29,Argentina,Real Betis,,"
"Lucas Ocampos,,""$ 17,066"",""$ 887,413"",,""$ 887,413"",""$ 911,134"",Active,F,29,Argentina,Sevilla,,"
"Álex Berenguer,,""$ 17,066"",""$ 887,413"",,""$ 887,413"",""$ 911,134"",Active,F,28,Spain,Athletic Club,,"
"Luka Romero,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 888,912"",Loan,F,19,Argentina,Almeria,,"
"Nemanja Radonjic,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 888,912"",Loan,F,27,Serbia,Mallorca,,"
"Alejandro Catena,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 888,912"",Active,D,29,Spain,Osasuna,,"
"Alejandro Balde,,""$ 16,649"",""$ 865,769"",""$ 216,442"",""$ 1,082,211"",""$ 1,111,140"",Active,D,20,Spain,Barcelona,,"
"Pepelu,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 888,912"",Active,M,25,Spain,Valencia,,"
"Aihen Muñoz,,""$ 16,649"",""$ 865,769"",,""$ 865,769"",""$ 888,912"",Active,D,26,Spain,Real Sociedad,,"
"Antonio Raíllo,,""$ 16,441"",""$ 854,947"",,""$ 854,947"",""$ 877,800"",Active,D,32,Spain,Mallorca,,"
"Ilaix Moriba,,""$ 16,233"",""$ 844,125"",,""$ 844,125"",""$ 866,689"",Loan,M,21,Guinea,Getafe,,"
"Aïssa Mandi,,""$ 16,025"",""$ 833,302"",,""$ 833,302"",""$ 855,577"",Active,D,32,Algeria,Villarreal,,"
"Antonio Sivera,,""$ 15,609"",""$ 811,658"",,""$ 811,658"",""$ 833,355"",Active,K,27,Spain,Alaves,,"
"Julián Araujo,,""$ 15,609"",""$ 811,658"",,""$ 811,658"",""$ 833,355"",Loan,D,22,Mexico,Las Palmas,,"
"Paulo Gazzaniga,,""$ 15,609"",""$ 811,658"",,""$ 811,658"",""$ 833,355"",Active,K,32,Argentina,Girona,,"
"Joseph Aidoo,,""$ 15,609"",""$ 811,658"",,""$ 811,658"",""$ 833,355"",Active,D,28,Ghana,Celta Vigo,,"
"Carl Starfelt,,""$ 15,609"",""$ 811,658"",,""$ 811,658"",""$ 833,355"",Active,D,28,Sweden,Celta Vigo,,"
"Gonzalo Villar,,""$ 15,401"",""$ 800,836"",,""$ 800,836"",""$ 822,243"",Active,M,25,Spain,Granada,,"
"Pepe Reina,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,K,41,Spain,Villarreal,,"
"Alejo Véliz,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Loan,F,20,Argentina,Sevilla,,"
"João Félix,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Inactive,F,23,Portugal,Atletico Madrid,,"
"Luis Suárez,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,F,26,Colombia,Almeria,,"
"Giorgi Mamardashvili,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,K,23,Georgia,Valencia,,"
"Mason Greenwood,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Loan,F,22,England,Getafe,,"
"Sergi Canós,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,F,27,Spain,Valencia,,"
"José Callejón,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,F,36,Spain,Granada,,"
"Ianis Hagi,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Loan,F,25,Romania,Alaves,,"
"José Luis Morales,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,F,36,Spain,Villarreal,,"
"Daley Sinkgraven,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,D,28,Netherlands,Las Palmas,,"
"Sandro Ramírez,,""$ 14,984"",""$ 779,192"",,""$ 779,192"",""$ 800,021"",Active,F,28,Spain,Las Palmas,,"
"Jon Moncayola,,""$ 14,568"",""$ 757,548"",""$ 259,731"",""$ 1,017,278"",""$ 1,044,471"",Active,M,25,Spain,Osasuna,,"
"Moi Gómez,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,F,29,Spain,Osasuna,,"
"Ander Guevara,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,M,26,Spain,Alaves,,"
"Andrei Rațiu,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,D,25,Romania,Rayo Vallecano,,"
"Pablo Maffeo,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,D,26,Argentina,Mallorca,,"
"Antonio Sánchez,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,M,26,Spain,Mallorca,,"
"Beñat Prados,,""$ 14,568"",""$ 757,548"",""$ 108,221"",""$ 865,769"",""$ 888,912"",Active,M,22,Spain,Athletic Club,,"
"Toni Lato,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,D,26,Spain,Mallorca,,"
"Jaume Doménech,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,K,33,Spain,Valencia,,"
"Álvaro García,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Active,F,31,Spain,Rayo Vallecano,,"
"Darwin Machís,,""$ 14,568"",""$ 757,548"",,""$ 757,548"",""$ 777,798"",Loan,F,30,Venezuela,Cadiz,,"
"Sheraldo Becker,,""$ 13,944"",""$ 725,081"",,""$ 725,081"",""$ 744,464"",Active,F,28,Suriname,Real Sociedad,,"
"Alberto Moreno,,""$ 13,944"",""$ 725,081"",,""$ 725,081"",""$ 744,464"",Active,D,31,Spain,Villarreal,,"
"Yeremi Pino,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 722,241"",Active,F,21,Spain,Villarreal,,"
"Vitolo,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 722,241"",Active,F,34,Spain,Atletico Madrid,,"
"Ante Budimir,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 722,241"",Active,F,32,Croatia,Osasuna,,"
"Rubén García,,""$ 13,528"",""$ 703,437"",,""$ 703,437"",""$ 722,241"",Active,F,30,Spain,Osasuna,,"
"Anastasios Douvikas,,""$ 12,903"",""$ 670,971"",,""$ 670,971"",""$ 688,907"",Active,F,24,Greece,Celta Vigo,,"
"Juan Miranda,,""$ 12,903"",""$ 670,971"",,""$ 670,971"",""$ 688,907"",Active,D,24,Spain,Real Betis,,"
"Marko Dmitrović,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,K,32,Serbia,Sevilla,,"
"Jon Guridi,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,M,28,Spain,Alaves,,"
"Domingos Duarte,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,D,28,Portugal,Getafe,,"
"Juan Cruz,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,D,31,Spain,Osasuna,,"
"Raúl García,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,F,23,Spain,Osasuna,,"
"Arsen Zakharyan,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,F,20,Russia,Real Sociedad,,"
"Óscar de Marcos,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,D,35,Spain,Athletic Club,,"
"Manu Morlanes,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,M,25,Spain,Mallorca,,"
"Samuel Lino,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,F,24,Brazil,Atletico Madrid,,"
"Santi Comesaña,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,M,27,Spain,Villarreal,,"
"Ayoze Pérez,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,F,30,Spain,Real Betis,,"
"André Almeida,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,M,23,Portugal,Valencia,,"
"Miguel Gutiérrez,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,D,22,Spain,Girona,,"
"Franco Cervi,,""$ 12,487"",""$ 649,327"",,""$ 649,327"",""$ 666,684"",Active,F,29,Argentina,Celta Vigo,,"
"Miguel Rubio,,""$ 12,279"",""$ 638,504"",,""$ 638,504"",""$ 655,572"",Active,D,25,Spain,Granada,,"
"Aleix García,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,M,26,Spain,Girona,,"
"Facundo Pellistri,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Loan,F,22,Uruguay,Granada,,"
"Edgar González,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,D,26,Spain,Almeria,,"
"Óscar Rodríguez,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Loan,F,25,Spain,Getafe,,"
"Falcao,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,F,37,Colombia,Rayo Vallecano,,"
"Omar Alderete,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,D,27,Paraguay,Getafe,,"
"Diego Rico,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Loan,D,30,Spain,Getafe,,"
"Cristhian Stuani,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,F,37,Uruguay,Girona,,"
"Manu Trigueros,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,M,32,Spain,Villarreal,,"
"Claudio Bravo,,""$ 12,071"",""$ 627,682"",,""$ 627,682"",""$ 644,461"",Active,K,40,Chile,Real Betis,,"
"Óscar Mingueza,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 611,127"",Active,D,24,Spain,Celta Vigo,,"
"Ignasi Miquel,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 611,127"",Active,D,31,Spain,Granada,,"
"Javier Manquillo,,""$ 11,446"",""$ 595,216"",,""$ 595,216"",""$ 611,127"",Active,D,29,Spain,Celta Vigo,,"
"Lucas Robertone,,""$ 11,030"",""$ 573,572"",,""$ 573,572"",""$ 588,904"",Active,M,26,Argentina,Almeria,,"
"César Montes,,""$ 11,030"",""$ 573,572"",,""$ 573,572"",""$ 588,904"",Active,D,26,Mexico,Almeria,,"
"Yangel Herrera,,""$ 11,030"",""$ 573,572"",,""$ 573,572"",""$ 588,904"",Active,M,26,Venezuela,Girona,,"
"Johan Mojica,,""$ 11,030"",""$ 573,572"",,""$ 573,572"",""$ 588,904"",Loan,D,31,Colombia,Osasuna,,"
"Adrià Pedrosa,,""$ 11,030"",""$ 573,572"",,""$ 573,572"",""$ 588,904"",Active,D,25,Spain,Sevilla,,"
"Roger Martí,,""$ 10,822"",""$ 562,750"",,""$ 562,750"",""$ 577,793"",Active,F,33,Spain,Cadiz,,"
"Tadeo Allende,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,F,24,Argentina,Celta Vigo,,"
"Mihailo Ristic,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,D,28,Serbia,Celta Vigo,,"
"Jorge Cuenca,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,D,24,Spain,Villarreal,,"
"Óscar Trejo,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,F,35,Argentina,Rayo Vallecano,,"
"Horaţiu Moldovan,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,K,26,Romania,Atletico Madrid,,"
"Sávio,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Loan,F,19,Brazil,Girona,,"
"Samú Costa,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,M,23,Portugal,Mallorca,,"
"Carlos Vicente,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,F,24,Spain,Alaves,,"
"Iván Villar,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,K,26,Spain,Celta Vigo,,"
"Óscar Melendo,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,F,26,Spain,Granada,,"
"Thierry Correia,,""$ 10,406"",""$ 541,106"",,""$ 541,106"",""$ 555,570"",Active,D,24,Portugal,Valencia,,"
"Kamil Jóźwiak,,""$ 10,198"",""$ 530,283"",,""$ 530,283"",""$ 544,458"",Active,F,25,Poland,Granada,,"
"Jorge Meré,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Loan,D,26,Spain,Cadiz,,"
"Samu Castillejo,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Inactive,F,28,Spain,Valencia,,"
"Jeremías Ledesma,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,K,30,Argentina,Cadiz,,"
"Manu Sánchez,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,D,23,Spain,Celta Vigo,,"
"Iñigo Lekue,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,D,30,Spain,Athletic Club,,"
"Andoni Gorosabel,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,D,27,Spain,Alaves,,"
"Kiko Femenía,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,D,33,Spain,Villarreal,,"
"Abner,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,D,23,Brazil,Real Betis,,"
"Carlos Fernández,,""$ 9,990"",""$ 519,461"",,""$ 519,461"",""$ 533,347"",Active,F,27,Spain,Real Sociedad,,"
"Adrián Embarba,,""$ 9,573"",""$ 497,817"",,""$ 497,817"",""$ 511,124"",Active,F,31,Spain,Almeria,,"
"Sergio Herrera,,""$ 9,573"",""$ 497,817"",,""$ 497,817"",""$ 511,124"",Active,K,30,Spain,Osasuna,,"
"Antonio Blanco,,""$ 9,365"",""$ 486,995"",,""$ 486,995"",""$ 500,013"",Active,M,23,Spain,Alaves,,"
"Nahuel Tenaglia,,""$ 9,365"",""$ 486,995"",,""$ 486,995"",""$ 500,013"",Active,D,27,Argentina,Alaves,,"
"Hannibal,,""$ 9,365"",""$ 486,995"",,""$ 486,995"",""$ 500,013"",Loan,F,21,Tunisia,Sevilla,,"
"Alfonso Espino,,""$ 9,365"",""$ 486,995"",,""$ 486,995"",""$ 500,013"",Active,D,32,Uruguay,Rayo Vallecano,,"
"Jailson,,""$ 9,365"",""$ 486,995"",,""$ 486,995"",""$ 500,013"",Active,M,28,Brazil,Celta Vigo,,"
"Rui Silva,,""$ 8,949"",""$ 465,351"",,""$ 465,351"",""$ 477,790"",Active,K,29,Portugal,Real Betis,,"
"Lucas Boyé,,""$ 8,949"",""$ 465,351"",,""$ 465,351"",""$ 477,790"",Active,F,27,Argentina,Granada,,"
"Joseba Zaldua,,""$ 8,949"",""$ 465,351"",,""$ 465,351"",""$ 477,790"",Active,D,31,Spain,Cadiz,,"
"Bruno Méndez,,""$ 8,949"",""$ 465,351"",,""$ 465,351"",""$ 477,790"",Active,D,24,Uruguay,Granada,,"
"Nacho Vidal,,""$ 8,741"",""$ 454,529"",,""$ 454,529"",""$ 466,679"",Loan,D,29,Spain,Mallorca,,"
"Sergio Ruiz,,""$ 8,741"",""$ 454,529"",,""$ 454,529"",""$ 466,679"",Active,M,29,Spain,Granada,,"
"Youssouf Sabaly,,""$ 8,533"",""$ 443,707"",,""$ 443,707"",""$ 455,567"",Active,D,30,Senegal,Real Betis,,"
"Siebe Van der Heyden,,""$ 8,533"",""$ 443,707"",,""$ 443,707"",""$ 455,567"",Active,D,25,Belgium,Mallorca,,"
"Martin Hongla,,""$ 8,533"",""$ 443,707"",,""$ 443,707"",""$ 455,567"",Active,M,25,Cameroon,Granada,,"
"Omar Mascarell,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,M,31,Spain,Mallorca,,"
"Cyle Larin,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,F,28,Canada,Mallorca,,"
"Predrag Rajkovic,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,K,28,Serbia,Mallorca,,"
"Sergio Camello,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,F,22,Spain,Rayo Vallecano,,"
"Kike Barja,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,F,26,Spain,Osasuna,,"
"Kirian Rodríguez,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,F,27,Spain,Las Palmas,,"
"Rubén Peña,,""$ 8,325"",""$ 432,884"",,""$ 432,884"",""$ 444,456"",Active,D,32,Spain,Osasuna,,"
"Luis Rioja,,""$ 8,117"",""$ 422,062"",,""$ 422,062"",""$ 433,344"",Active,F,30,Spain,Alaves,,"
"Iddrisu Baba,,""$ 8,117"",""$ 422,062"",,""$ 422,062"",""$ 433,344"",Loan,M,28,Ghana,Almeria,,"
"Giovanni González,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,D,29,Uruguay,Mallorca,,"
"Reinildo Mandava,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,D,30,Mozambique,Atletico Madrid,,"
"Sory Kaba,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,F,28,Guinea,Las Palmas,,"
"Rubén Sobrino,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,F,31,Spain,Cadiz,,"
"David García,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,D,29,Spain,Osasuna,,"
"Diego López,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,F,21,Spain,Valencia,,"
"Abde Ezzalzouli,,""$ 7,908"",""$ 411,240"",,""$ 411,240"",""$ 422,233"",Active,F,22,Morocco,Real Betis,,"
"Fali,,""$ 7,700"",""$ 400,418"",,""$ 400,418"",""$ 411,122"",Active,D,30,Spain,Cadiz,,"
"Augusto Batalla,,""$ 7,700"",""$ 400,418"",,""$ 400,418"",""$ 411,122"",Loan,K,27,Argentina,Granada,,"
"Iñigo Ruiz de Galarreta,,""$ 7,492"",""$ 389,596"",,""$ 389,596"",""$ 400,010"",Active,M,30,Spain,Athletic Club,,"
"Rubén Alcaraz,,""$ 7,492"",""$ 389,596"",,""$ 389,596"",""$ 400,010"",Active,M,32,Spain,Cadiz,,"
"Abde Rebbach,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,F,25,Algeria,Alaves,,"
"Lucien Agoume,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Loan,M,21,France,Sevilla,,"
"Julen Agirrezabala,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,K,23,Spain,Athletic Club,,"
"Rominigue Kouamé,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,M,27,Mali,Cadiz,,"
"Aleksandar Sedlar,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,D,32,Serbia,Alaves,,"
"Ørjan Nyland,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,K,33,Norway,Sevilla,,"
"Pejiño,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,F,27,Spain,Las Palmas,,"
"Juan Iglesias,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,D,25,Spain,Getafe,,"
"Myrto Uzuni,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,F,28,Albania,Granada,,"
"Fede San Emeterio,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,M,26,Spain,Cadiz,,"
"Iker Muñoz,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,M,21,Spain,Osasuna,,"
"Alejandro Pozo,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,D,24,Spain,Almeria,,"
"Javi Muñoz,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,M,28,Spain,Las Palmas,,"
"Carlos Benavidez,,""$ 7,284"",""$ 378,774"",,""$ 378,774"",""$ 388,899"",Active,M,25,Uruguay,Alaves,,"
"Aitor Fernández,,""$ 7,076"",""$ 367,952"",,""$ 367,952"",""$ 377,787"",Active,K,32,Spain,Osasuna,,"
"Martin Valjent,,""$ 7,076"",""$ 367,952"",,""$ 367,952"",""$ 377,787"",Active,D,28,Slovakia,Mallorca,,"
"Johnny,,""$ 7,076"",""$ 367,952"",,""$ 367,952"",""$ 377,787"",Active,M,22,United States,Real Betis,,"
"Iza Carcelén,,""$ 7,076"",""$ 367,952"",,""$ 367,952"",""$ 377,787"",Active,D,30,Spain,Cadiz,,"
"Choco Lozano,,""$ 7,076"",""$ 367,952"",,""$ 367,952"",""$ 377,787"",Loan,F,30,Honduras,Almeria,,"
"José Manuel Arnáiz,,""$ 6,868"",""$ 357,130"",,""$ 357,130"",""$ 366,676"",Active,F,28,Spain,Osasuna,,"
"Xeber Alkain,,""$ 6,660"",""$ 346,308"",,""$ 346,308"",""$ 355,565"",Active,F,26,Spain,Alaves,,"
"Stole Dimitrievski,,""$ 6,660"",""$ 346,308"",,""$ 346,308"",""$ 355,565"",Active,K,30,North Macedonia,Rayo Vallecano,,"
"Kike García,,""$ 6,452"",""$ 335,485"",,""$ 335,485"",""$ 344,453"",Active,F,34,Spain,Alaves,,"
"Gastón Álvarez,,""$ 6,452"",""$ 335,485"",,""$ 335,485"",""$ 344,453"",Active,D,23,Uruguay,Getafe,,"
"Gerard Gumbau,,""$ 6,452"",""$ 335,485"",,""$ 335,485"",""$ 344,453"",Active,M,29,Spain,Granada,,"
"Antonio Puertas,,""$ 6,452"",""$ 335,485"",,""$ 335,485"",""$ 344,453"",Active,F,31,Spain,Granada,,"
"Fermín López,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,M,20,Spain,Barcelona,,"
"Luis Hernández,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,D,34,Spain,Cadiz,,"
"Alex Suárez,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,D,30,Spain,Las Palmas,,"
"Carles Aleñá,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,M,26,Spain,Getafe,,"
"Marc Cardona,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,F,28,Spain,Las Palmas,,"
"Fran Pérez,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,F,21,Spain,Valencia,,"
"Dani Cárdenas,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,K,26,Spain,Rayo Vallecano,,"
"Damián Suárez,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,D,35,Uruguay,Getafe,,"
"Rodrigo Riquelme,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,F,23,Spain,Atletico Madrid,,"
"Pathé Ciss,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,M,29,Senegal,Rayo Vallecano,,"
"Juanmi Latasa,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Loan,F,22,Spain,Getafe,,"
"Jesús Vázquez,,""$ 6,244"",""$ 324,663"",,""$ 324,663"",""$ 333,342"",Active,D,21,Spain,Valencia,,"
"Fabrizio Angileri,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,D,29,Argentina,Getafe,,"
"Juanpe,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,D,32,Spain,Girona,,"
"Daniel Fuzato,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Loan,K,26,Brazil,Getafe,,"
"Léo Baptistão,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,F,31,Brazil,Almeria,,"
"Jon Pacheco,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,D,23,Spain,Real Sociedad,,"
"Aitor Ruibal,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,F,27,Spain,Real Betis,,"
"Kevin Vázquez,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,D,30,Spain,Celta Vigo,,"
"Ibrahima Koné,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,F,24,Mali,Almeria,,"
"Ilias Akhomach,,""$ 6,035"",""$ 313,841"",,""$ 313,841"",""$ 322,230"",Active,F,19,Morocco,Villarreal,,"
"Cenk Özkacar,,""$ 5,827"",""$ 303,019"",,""$ 303,019"",""$ 311,119"",Active,D,23,Turkey,Valencia,,"
"Raúl Fernández,,""$ 5,827"",""$ 303,019"",,""$ 303,019"",""$ 311,119"",Active,K,35,Spain,Granada,,"
"Rubén Duarte,,""$ 5,619"",""$ 292,197"",,""$ 292,197"",""$ 300,008"",Active,D,28,Spain,Alaves,,"
"Yerson Mosquera,,""$ 5,619"",""$ 292,197"",,""$ 292,197"",""$ 300,008"",Loan,D,22,Colombia,Villarreal,,"
"Martín Merquelanz,,""$ 5,619"",""$ 292,197"",,""$ 292,197"",""$ 300,008"",Active,F,28,Spain,Real Sociedad,,"
"Iván Martín,,""$ 5,411"",""$ 281,375"",,""$ 281,375"",""$ 288,896"",Active,F,24,Spain,Girona,,"
"Sergio Arribas,,""$ 5,411"",""$ 281,375"",,""$ 281,375"",""$ 288,896"",Active,F,22,Spain,Almeria,,"
"Matija Nastasic,,""$ 5,411"",""$ 281,375"",,""$ 281,375"",""$ 288,896"",Active,D,30,Serbia,Mallorca,,"
"Jørgen Strand Larsen,,""$ 5,411"",""$ 281,375"",,""$ 281,375"",""$ 288,896"",Active,F,23,Norway,Celta Vigo,,"
"José Ángel Carmona,,""$ 5,411"",""$ 281,375"",,""$ 281,375"",""$ 288,896"",Loan,D,22,Spain,Getafe,,"
