"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Cucho Hernández,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,25,Colombia,Real Betis,,"
"Endrick,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,18,Brazil,Real Madrid,,"
"Oihan Sancet,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,24,Spain,Athletic Club,,"
"Álex Remiro,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,K,29,Spain,Real Sociedad,,"
"Mouctar Diakhaby,,""$ 41,765"",""$ 2,171,787"",,""$ 2,171,787"",""$ 2,171,787"",Active,D,28,Guinea,Valencia,,"
"Fermín López,,""$ 41,765"",""$ 2,171,787"",,""$ 2,171,787"",""$ 2,171,787"",Active,M,21,Spain,Barcelona,,"
"Clément Lenglet,,""$ 41,765"",""$ 2,171,787"",,""$ 2,171,787"",""$ 2,171,787"",Loan,D,29,France,Atletico Madrid,,"
"Pau Cubarsí,,""$ 41,765"",""$ 2,171,787"",,""$ 2,171,787"",""$ 2,171,787"",Active,D,18,Spain,Barcelona,,"
"Nemanja Gudelj,,""$ 41,330"",""$ 2,149,164"",,""$ 2,149,164"",""$ 2,149,164"",Active,M,33,Serbia,Sevilla,,"
"Nahuel Molina,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,26,Argentina,Atletico Madrid,,"
"Martin Valjent,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,29,Slovakia,Mallorca,,"
"Gerard Moreno,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,32,Spain,Villarreal,,"
"David López,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,35,Spain,Girona,,"
"Marash Kumbulla,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Loan,D,24,Albania,Espanyol,,"
"Dani Parejo,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,35,Spain,Villarreal,,"
"Mauro Arambarri,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,29,Uruguay,Getafe,,"
