"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Oriol Romeu,,""$ 26,016"",""$ 1,352,806"",,""$ 1,352,806"",""$ 1,427,500"",Active,M,31,Spain,Girona,,"
"Javi Galán,,""$ 26,016"",""$ 1,352,806"",,""$ 1,352,806"",""$ 1,427,500"",Active,D,28,Spain,Celta Vigo,,"
"Carles Pérez,,""$ 25,599"",""$ 1,331,161"",,""$ 1,331,161"",""$ 1,404,660"",Loan,F,24,Spain,Celta Vigo,,"
"Karim Rekik,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,370,400"",Active,D,28,Netherlands,Sevilla,,"
"Germán Pezzella,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,370,400"",Active,D,31,Argentina,Real Betis,,"
"David Soria,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,370,400"",Active,K,29,Spain,Getafe,,"
"Samu Castillejo,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,370,400"",Active,F,28,Spain,Valencia,,"
"Joselu,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,370,400"",Active,F,32,Spain,Espanyol,,"
"Oihan Sancet,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,370,400"",Active,F,22,Spain,Athletic Club,,"
"Kiko Casilla,,""$ 23,934"",""$ 1,244,582"",,""$ 1,244,582"",""$ 1,313,300"",Active,K,36,Spain,Getafe,,"
"Yeray Álvarez,,""$ 23,934"",""$ 1,244,582"",,""$ 1,244,582"",""$ 1,313,300"",Active,D,28,Spain,Athletic Club,,"
"Juanmi,,""$ 23,934"",""$ 1,244,582"",,""$ 1,244,582"",""$ 1,313,300"",Active,F,29,Spain,Real Betis,,"
"Bryan Gil,,""$ 23,518"",""$ 1,222,937"",,""$ 1,222,937"",""$ 1,290,460"",Loan,F,21,Spain,Sevilla,,"
"William Carvalho,,""$ 23,518"",""$ 1,222,937"",,""$ 1,222,937"",""$ 1,290,460"",Active,M,30,Portugal,Real Betis,,"
"Óliver Torres,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,256,200"",Active,M,28,Spain,Sevilla,,"
"Iker Muniain,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,210,520"",Active,F,30,Spain,Athletic Club,,"
"Willian José,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,210,520"",Active,F,31,Brazil,Real Betis,,"
"Jaime Mata,,""$ 21,437"",""$ 1,114,712"",,""$ 1,114,712"",""$ 1,176,260"",Active,F,34,Spain,Getafe,,"
"Portu,,""$ 21,021"",""$ 1,093,067"",,""$ 1,093,067"",""$ 1,153,420"",Loan,F,30,Spain,Getafe,,"
"Jaume Doménech,,""$ 21,021"",""$ 1,093,067"",,""$ 1,093,067"",""$ 1,153,420"",Active,K,32,Spain,Valencia,,"
"Nemanja Maksimović,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,M,28,Serbia,Getafe,,"
"Raúl García,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,F,36,Spain,Athletic Club,,"
"Pablo Barrios,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,M,19,Spain,Atletico Madrid,,"
"Hugo Duro,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,F,23,Spain,Valencia,,"
"Umar Sadiq,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,F,25,Nigeria,Real Sociedad,,"
"Aritz Elustondo,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,D,28,Spain,Real Sociedad,,"
"Luis Milla,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,M,28,Spain,Getafe,,"
"Isi Palazón,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,F,28,Spain,Rayo Vallecano,,"
"Lucas Torró,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,142,000"",Active,M,28,Spain,Osasuna,,"
"Álex Baena,,""$ 19,980"",""$ 1,038,955"",,""$ 1,038,955"",""$ 1,096,320"",Active,F,21,Spain,Villarreal,,"
"Fran Beltrán,,""$ 19,980"",""$ 1,038,955"",,""$ 1,038,955"",""$ 1,096,320"",Active,M,23,Spain,Celta Vigo,,"
"Marcos André,,""$ 19,980"",""$ 1,038,955"",,""$ 1,038,955"",""$ 1,096,320"",Active,F,26,Brazil,Valencia,,"
"Alex Telles,,""$ 19,980"",""$ 1,038,955"",,""$ 1,038,955"",""$ 1,096,320"",Loan,D,30,Brazil,Sevilla,,"
"Takefusa Kubo,,""$ 19,980"",""$ 1,038,955"",,""$ 1,038,955"",""$ 1,096,320"",Active,F,21,Japan,Real Sociedad,,"
"Juan Foyth,,""$ 19,980"",""$ 1,038,955"",,""$ 1,038,955"",""$ 1,096,320"",Active,D,25,Argentina,Villarreal,,"
"Hugo Guillamón,,""$ 19,147"",""$ 995,665"",,""$ 995,665"",""$ 1,050,640"",Active,M,23,Spain,Valencia,,"
"Rafa Mir,,""$ 18,939"",""$ 984,843"",,""$ 984,843"",""$ 1,039,220"",Active,F,25,Spain,Sevilla,,"
"Sergi Darder,,""$ 18,939"",""$ 984,843"",,""$ 984,843"",""$ 1,039,220"",Active,M,29,Spain,Espanyol,,"
"Étienne Capoue,,""$ 18,939"",""$ 984,843"",,""$ 984,843"",""$ 1,039,220"",Active,M,34,France,Villarreal,,"
"Jesús Corona,,""$ 18,939"",""$ 984,843"",,""$ 984,843"",""$ 1,039,220"",Active,F,30,Mexico,Sevilla,,"
"Edu Expósito,,""$ 18,731"",""$ 974,020"",,""$ 974,020"",""$ 1,027,800"",Active,M,26,Spain,Espanyol,,"
"Dimitri Foulquier,,""$ 18,731"",""$ 974,020"",,""$ 974,020"",""$ 1,027,800"",Active,D,29,Guadeloupe,Valencia,,"
"Jesús Vallejo,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 982,120"",Active,D,26,Spain,Real Madrid,,"
"Ezequiel Ponce,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 982,120"",Active,F,25,Argentina,Elche,,"
"Óscar de Marcos,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 982,120"",Active,D,33,Spain,Athletic Club,,"
"Gonzalo Escalante,,""$ 17,899"",""$ 930,731"",,""$ 930,731"",""$ 982,120"",Loan,M,29,Argentina,Cadiz,,"
"Toni Lato,,""$ 17,482"",""$ 909,086"",,""$ 909,086"",""$ 959,280"",Active,D,25,Spain,Valencia,,"
"Hugo Mallo,,""$ 17,482"",""$ 909,086"",,""$ 909,086"",""$ 959,280"",Active,D,31,Spain,Celta Vigo,,"
"Lucas Ocampos,,""$ 17,066"",""$ 887,441"",,""$ 887,441"",""$ 936,440"",Active,F,28,Argentina,Sevilla,,"
"Guido Rodríguez,,""$ 17,066"",""$ 887,441"",,""$ 887,441"",""$ 936,440"",Active,M,28,Argentina,Real Betis,,"
"Álex Berenguer,,""$ 17,066"",""$ 887,441"",,""$ 887,441"",""$ 936,440"",Active,F,27,Spain,Athletic Club,,"
"Unai Núñez,,""$ 17,066"",""$ 887,441"",,""$ 887,441"",""$ 936,440"",Loan,D,26,Spain,Celta Vigo,,"
"Antonio Raíllo,,""$ 16,442"",""$ 854,974"",,""$ 854,974"",""$ 902,180"",Active,D,31,Spain,Mallorca,,"
"Ilaix Moriba,,""$ 16,234"",""$ 844,151"",,""$ 844,151"",""$ 890,760"",Loan,M,20,Guinea,Valencia,,"
"Kenedy,,""$ 16,234"",""$ 844,151"",,""$ 844,151"",""$ 890,760"",Active,F,26,Brazil,Valladolid,,"
"Sergio Canales,,""$ 16,026"",""$ 833,329"",,""$ 833,329"",""$ 879,340"",Active,F,31,Spain,Real Betis,,"
"Aïssa Mandi,,""$ 16,026"",""$ 833,329"",,""$ 833,329"",""$ 879,340"",Active,D,31,Algeria,Villarreal,,"
"Borja Iglesias,,""$ 16,026"",""$ 833,329"",,""$ 833,329"",""$ 879,340"",Active,F,30,Spain,Real Betis,,"
"Joseph Aidoo,,""$ 15,609"",""$ 811,684"",,""$ 811,684"",""$ 856,500"",Active,D,27,Ghana,Celta Vigo,,"
"Lisandro Magallán,,""$ 15,609"",""$ 811,684"",,""$ 811,684"",""$ 856,500"",Active,D,29,Argentina,Elche,,"
