Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
440,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,26,1996,27,2171,80,63.5,24.1,25,84,20,2,41,8,1.48,33,31,+2,+0.08,-0.49,Matches
441,Adam Marušić,me MNE,DF,Lazio,29,1992,33,2760,84,80.7,30.7,31,86,23,2,40,1,1.91,47,25,+22,+0.72,-0.37,Matches
442,Adam Masina,ma MAR,"DF,MF",Udinese,28,1994,14,789,56,23.1,8.8,8,82,5,6,22,6,1.07,12,14,-2,-0.23,-0.26,Matches
443,Nemanja Matić,rs SRB,MF,Roma,33,1988,35,1852,53,54.2,20.6,16,85,11,19,26,1,1.69,34,23,+11,+0.53,+0.48,Matches
444,Luís Maximiano,pt POR,GK,Lazio,23,1999,1,5,5,0.1,0.1,1,5,0,0,,36,3.00,0,0,0,0.00,-0.79,Matches
445,Pasquale Mazzocchi,it ITA,MF,Salernitana,27,1995,27,1958,73,57.3,21.8,23,80,10,4,31,1,1.30,28,34,-6,-0.28,+0.22,Matches
446,Ibrahima Mbaye,sn SEN,"DF,MF",Bologna,27,1994,0,,,,,0,,0,0,,3,,,,,,,Matches
447,Weston McKennie,us USA,MF,Juventus,23,1998,15,1052,70,30.8,11.7,13,76,6,2,30,1,1.73,15,13,+2,+0.17,-0.63,Matches
448,Gary Medel,cl CHI,"MF,DF",Bologna,34,1987,29,1478,51,43.2,16.4,17,76,6,12,15,5,1.45,24,25,-1,-0.06,-0.29,Matches
449,Soualiho Meïté,fr FRA,MF,Cremonese,28,1994,31,2366,76,69.2,26.3,28,82,19,3,21,1,0.84,24,47,-23,-0.87,-0.02,Matches
450,Leonardo Mendicino,it ITA,MF,Atalanta,16,2006,0,,,,,0,,0,0,,4,,,,,,,Matches
451,Alex Meret,it ITA,GK,Napoli,25,1997,34,3060,90,89.5,34.0,34,90,34,0,,4,2.44,72,24,+48,+1.41,+1.16,Matches
452,Davide Merola,it ITA,FW,Empoli,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
453,Yıldırım Mert Çetin,tr TUR,DF,Lecce,25,1997,1,20,20,0.6,0.2,1,20,0,0,,9,0.00,0,1,-1,-4.50,-4.18,Matches
454,Junior Messias,br BRA,MF,Milan,31,1991,25,1498,60,43.8,16.6,19,70,3,6,29,4,1.80,32,19,+13,+0.78,+0.41,Matches
455,Alessandro Micai,it ITA,GK,Salernitana,29,1993,0,,,,,0,,0,0,,9,,,,,,,Matches
456,Tommaso Milanese,it ITA,MF,Cremonese,20,2002,2,27,14,0.8,0.3,0,,0,2,14,18,0.00,0,1,-1,-3.33,-2.48,Matches
457,Nikola Milenković,rs SRB,DF,Fiorentina,24,1997,27,2137,79,62.5,23.7,23,86,21,4,39,9,1.48,34,27,+7,+0.29,+0.08,Matches
458,Arkadiusz Milik,pl POL,FW,Juventus,28,1994,27,1586,59,46.4,17.6,17,77,6,10,28,1,1.74,27,13,+14,+0.79,+0.35,Matches
459,Sergej Milinković-Savić,rs SRB,MF,Lazio,27,1995,36,3022,84,88.4,33.6,34,87,25,2,37,1,1.89,53,27,+26,+0.77,-0.13,Matches
460,Vanja Milinković-Savić,rs SRB,GK,Torino,25,1997,38,3420,90,100.0,38.0,38,90,38,0,,0,1.39,42,41,+1,+0.03,,Matches
