"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Rolando Mandragora,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Active,M,26,Italy,Fiorentina,,"
"Jesper Lindstrøm,,""$ 47,867"",""$ 2,489,085"",,""$ 2,489,085"",""$ 2,527,210"",Active,F,23,Denmark,Napoli,,"
"Carlos Augusto,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Loan,M,25,Brazil,Inter Milan,,"
"Mitchel Bakker,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Active,M,23,Netherlands,Atalanta,,"
"Pedro,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Active,F,36,Spain,Lazio,,"
"Felipe Anderson,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,417,331"",Active,F,30,Brazil,Lazio,,"
"Tajon Buchanan,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,M,24,Canada,Inter Milan,,"
"Ricardo Rodríguez,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,31,Switzerland,Torino,,"
"Aleksey Miranchuk,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,F,28,Russia,Atalanta,,"
"Giorgio Scalvini,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,20,Italy,Atalanta,,"
"Roberto Gagliardini,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,M,30,Italy,Monza,,"
"Antonin Barak,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,F,29,Czech Republic,Fiorentina,,"
"Fabiano Parisi,,""$ 31,218"",""$ 1,623,316"",""$ 324,663"",""$ 1,947,980"",""$ 1,977,816"",Active,D,23,Italy,Fiorentina,,"
"Giacomo Bonaventura,,""$ 31,218"",""$ 1,623,316"",""$ 432,884"",""$ 2,056,201"",""$ 2,087,695"",Active,M,34,Italy,Fiorentina,,"
"Danilo Cataldi,,""$ 31,218"",""$ 1,623,316"",""$ 541,106"",""$ 2,164,422"",""$ 2,197,574"",Active,M,29,Italy,Lazio,,"
"M'Bala Nzola,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,F,27,Angola,Fiorentina,,"
"Nicolò Fagioli,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Inactive,M,22,Italy,Juventus,,"
"Mattia Perin,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,K,31,Italy,Juventus,,"
"Mattia De Sciglio,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,31,Italy,Juventus,,"
"Francesco Acerbi,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,35,Italy,Inter Milan,,"
"Federico Gatti,,""$ 29,136"",""$ 1,515,095"",,""$ 1,515,095"",""$ 1,538,302"",Active,D,25,Italy,Juventus,,"
"Karol Linetty,,""$ 29,136"",""$ 1,515,095"",,""$ 1,515,095"",""$ 1,538,302"",Active,M,29,Poland,Torino,,"
"Luca Mazzitelli,,""$ 29,136"",""$ 1,515,095"",,""$ 1,515,095"",""$ 1,538,302"",Active,M,28,Italy,Frosinone,,"
"Andrea Belotti,,""$ 29,136"",""$ 1,515,095"",""$ 432,884"",""$ 1,947,980"",""$ 1,977,816"",Inactive,F,30,Italy,Roma,,"
"Gaetano Castrovilli,,""$ 29,136"",""$ 1,515,095"",,""$ 1,515,095"",""$ 1,538,302"",Active,M,26,Italy,Fiorentina,,"
"Sead Kolasinac,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,D,30,Bosnia-Herzegovina,Atalanta,,"
"Noah Okafor,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,F,23,Switzerland,AC Milan,,"
"Timothy Weah,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,M,23,United States,Juventus,,"
"Pierre Kalulu,,""$ 41,624"",""$ 2,164,422"",""$ 432,884"",""$ 2,597,306"",""$ 2,637,089"",Active,D,23,France,AC Milan,,"
"Yunus Musah,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,M,21,United States,AC Milan,,"
"Nikola Vlašić,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,F,26,Croatia,Torino,,"
"Éderson,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,M,24,Brazil,Atalanta,,"
"Rasmus Kristensen,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Loan,D,26,Denmark,Roma,,"
"Boulaye Dia,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,F,27,Senegal,Salernitana,,"
"Kevin Strootman,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,M,33,Netherlands,Genoa,,"
"Zeki Çelik,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,197,574"",Active,D,26,Turkey,Roma,,"
"Marin Pongracic,,""$ 40,583"",""$ 2,110,311"",,""$ 2,110,311"",""$ 2,142,634"",Active,D,26,Croatia,Lecce,,"
"Karol Świderski,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,428,423"",Loan,F,27,Poland,Hellas Verona,,"
"Luca Pellegrini,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,428,423"",Loan,D,24,Italy,Lazio,,"
"Alfred Duncan,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,428,423"",Active,M,30,Ghana,Fiorentina,,"
"Antonio Candreva,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,428,423"",Active,M,36,Italy,Salernitana,,"
"Valentín Castellanos,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,F,25,Argentina,Lazio,,"
"Ademola Lookman,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,F,26,Nigeria,Atalanta,,"
"Mateo Retegui,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,F,24,Italy,Genoa,,"
"Florian Thauvin,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,F,31,France,Udinese,,"
"Lucas Beltrán,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,977,816"",Active,F,22,Argentina,Fiorentina,,"
"Patric,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,318,544"",Active,D,30,Spain,Lazio,,"
"Raoul Bellanova,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,318,544"",Active,M,23,Italy,Torino,,"
"Christian Kouamé,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,318,544"",Active,F,26,Cote d'Ivoire,Fiorentina,,"
"Federico Bonazzoli,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,318,544"",Loan,F,26,Italy,Hellas Verona,,"
"Tijjani Reijnders,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,867,938"",Active,M,25,Netherlands,AC Milan,,"
"Jonathan Ikoné,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,867,938"",Active,F,25,France,Fiorentina,,"
"Sardar Azmoun,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,867,938"",Loan,F,29,Iran,Roma,,"
"Nahitan Nández,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Active,M,28,Uruguay,Cagliari,,"
"Suat Serdar,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Loan,M,26,Germany,Hellas Verona,,"
"Khvicha Kvaratskhelia,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Active,F,22,Georgia,Napoli,,"
"Pablo Marí,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,758,059"",Active,D,30,Spain,Monza,,"
"Gianluca Lapadula,,""$ 22,893"",""$ 1,190,432"",""$ 324,663"",""$ 1,515,095"",""$ 1,538,302"",Active,F,33,Peru,Cagliari,,"
"Tommaso Baldanzi,,""$ 22,477"",""$ 1,168,788"",,""$ 1,168,788"",""$ 1,186,690"",Active,F,20,Italy,Roma,,"
"Angeliño,,""$ 22,477"",""$ 1,168,788"",,""$ 1,168,788"",""$ 1,186,690"",Loan,D,27,Spain,Roma,,"
"Simon Kjaer,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,34,Denmark,AC Milan,,"
"Lucas Martínez Quarta,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,27,Argentina,Fiorentina,,"
"Dodô,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,25,Brazil,Fiorentina,,"
"Eldor Shomurodov,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Loan,F,28,Uzbekistan,Cagliari,,"
"Gerard Deulofeu,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,F,29,Spain,Udinese,,"
"Yerry Mina,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,29,Colombia,Cagliari,,"
"Junior Sambia,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,27,France,Salernitana,,"
"Teun Koopmeiners,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,M,25,Netherlands,Atalanta,,"
"Mathías Olivera,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,D,26,Uruguay,Napoli,,"
"Gustav Isaksen,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,F,22,Denmark,Lazio,,"
"El Bilal Touré,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,F,22,Mali,Atalanta,,"
"Davy Klaassen,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,M,30,Netherlands,Inter Milan,,"
"Valentino Lazaro,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,648,180"",Active,M,27,Austria,Torino,,"
