"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Angeliño,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,28,Spain,Roma,,"
"Junior Messias,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,33,Brazil,Genoa,,"
"Alex Meret,,""$ 43,505"",""$ 2,262,278"",""$ 565,570"",""$ 2,827,847"",""$ 2,827,847"",Active,K,28,Italy,Napoli,,"
"Khéphren Thuram,,""$ 43,505"",""$ 2,262,278"",""$ 565,570"",""$ 2,827,847"",""$ 2,827,847"",Active,M,23,France,Juventus,,"
"Michele Di Gregorio,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Loan,K,27,Italy,Juventus,,"
"Mike Maignan,,""$ 60,907"",""$ 3,167,189"",,""$ 3,167,189"",""$ 3,167,189"",Active,K,29,France,AC Milan,,"
"Stanislav Lobotka,,""$ 60,907"",""$ 3,167,189"",""$ 565,570"",""$ 3,732,759"",""$ 3,732,759"",Active,M,30,Slovakia,Napoli,,"
"André Zambo Anguissa,,""$ 58,732"",""$ 3,054,075"",""$ 339,342"",""$ 3,393,417"",""$ 3,393,417"",Active,M,29,Cameroon,Napoli,,"
"Giovanni Simeone,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,29,Argentina,Napoli,,"
"Leonardo Spinazzola,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,31,Italy,Napoli,,"
"Matías Vecino,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,33,Uruguay,Lazio,,"
"Adam Marusic,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,32,Montenegro,Lazio,,"
"Raoul Bellanova,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,24,Italy,Atalanta,,"
"Ché Adams,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,28,Scotland,Torino,,"
"Vitinha,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,24,Portugal,Genoa,,"
"Samuele Ricci,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,23,Italy,Torino,,"
"Billy Gilmour,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,23,Scotland,Napoli,,"
"Matteo Gabbia,,""$ 39,155"",""$ 2,036,050"",""$ 452,456"",""$ 2,488,506"",""$ 2,488,506"",Active,D,25,Italy,AC Milan,,"
"Mario Hermoso,,""$ 38,067"",""$ 1,979,493"",,""$ 1,979,493"",""$ 1,979,493"",Inactive,D,29,Spain,Roma,,"
"Charles De Ketelaere,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,23,Belgium,Atalanta,,"
"Luka Jović,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,27,Serbia,AC Milan,,"
"Arthur,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Inactive,M,28,Brazil,Juventus,,"
"Yann Sommer,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,K,36,Switzerland,Inter Milan,,"
"Leandro Paredes,,""$ 54,382"",""$ 2,827,847"",""$ 565,570"",""$ 3,393,417"",""$ 3,393,417"",Active,M,30,Argentina,Roma,,"
"Matteo Darmian,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,35,Italy,Inter Milan,,"
"Amir Rrahmani,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,30,Kosovo,Napoli,,"
"Weston McKennie,,""$ 54,382"",""$ 2,827,847"",""$ 339,342"",""$ 3,167,189"",""$ 3,167,189"",Active,M,26,United States,Juventus,,"
"Armando Izzo,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,D,32,Italy,Monza,,"
"Guillermo Maripán,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,D,30,Chile,Torino,,"
"Cristiano Biraghi,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Loan,D,32,Italy,Torino,,"
"Strahinja Pavlović,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,D,23,Serbia,AC Milan,,"
"Christian Kouamé,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Loan,F,27,Cote d'Ivoire,Empoli,,"
"Manuel Lazzari,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,M,31,Italy,Lazio,,"
"Thijs Dallinga,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,F,24,Netherlands,Bologna,,"
"Kenan Yıldız,,""$ 34,804"",""$ 1,809,822"",""$ 452,456"",""$ 2,262,278"",""$ 2,262,278"",Active,F,19,Turkey,Juventus,,"
"Rolando Mandragora,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,M,27,Italy,Fiorentina,,"
"Antonio Sanabria,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,F,28,Paraguay,Torino,,"
"Carlos Augusto,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,D,26,Brazil,Inter Milan,,"
"Moise Kean,,""$ 47,856"",""$ 2,488,506"",""$ 339,342"",""$ 2,827,847"",""$ 2,827,847"",Active,F,24,Italy,Fiorentina,,"
"Pedro,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,F,37,Spain,Lazio,,"
"Albert Gudmundsson,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Loan,F,27,Iceland,Fiorentina,,"
"Mateo Retegui,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,F,25,Italy,Atalanta,,"
"Mattia Perin,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,K,32,Italy,Juventus,,"
"Alexis Sánchez,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,36,Chile,Udinese,,"
"Fabiano Parisi,,""$ 32,629"",""$ 1,696,708"",""$ 339,342"",""$ 2,036,050"",""$ 2,036,050"",Active,D,24,Italy,Fiorentina,,"
"Roberto Gagliardini,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,30,Italy,Monza,,"
"Kristjan Asllani,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,22,Albania,Inter Milan,,"
"Cesare Casadei,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,22,Italy,Torino,,"
"Josep Martínez,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,K,26,Spain,Inter Milan,,"
"Hernani,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,30,Brazil,Parma,,"
"Andrea Petagna,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,29,Italy,Monza,,"
"Francesco Acerbi,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,36,Italy,Inter Milan,,"
"Eljif Elmas,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,F,25,North Macedonia,Torino,,"
"Juan Cuadrado,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,36,Colombia,Atalanta,,"
"Giorgio Scalvini,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,21,Italy,Atalanta,,"
"Danilo Cataldi,,""$ 32,629"",""$ 1,696,708"",""$ 565,570"",""$ 2,262,278"",""$ 2,262,278"",Loan,M,30,Italy,Fiorentina,,"
"Marin Pongračić,,""$ 45,681"",""$ 2,375,392"",,""$ 2,375,392"",""$ 2,375,392"",Active,D,27,Croatia,Fiorentina,,"
"Federico Gatti,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,D,26,Italy,Juventus,,"
"Karol Linetty,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,M,30,Poland,Torino,,"
"Zeki Çelik,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,27,Turkey,Roma,,"
"Sead Kolasinac,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,31,Bosnia-Herzegovina,Atalanta,,"
"Yunus Musah,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,M,22,United States,AC Milan,,"
"Éderson,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,M,25,Brazil,Atalanta,,"
"Gianluca Busio,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,M,22,United States,Venezia,,"
"Nikola Vlašić,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,27,Croatia,Torino,,"
"Timothy Weah,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,24,United States,Juventus,,"
"Boulaye Dia,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Loan,F,28,Senegal,Lazio,,"
"Pierre Kalulu,,""$ 43,505"",""$ 2,262,278"",""$ 452,456"",""$ 2,714,734"",""$ 2,714,734"",Loan,D,24,France,Juventus,,"
