Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Donyell Malen,Borussia Dortmund,6.43,611,3.0,,6(8)
Junior Dina Ebimbe,Eintracht Frankfurt,6.43,291,,1.0,3(4)
Kilian Fischer,Wolfsburg,6.43,2311,1.0,,29(3)
Eren Dinkçi,Freiburg,6.43,1198,,3.0,13(10)
Noahkai Banks,Augsburg,6.43,275,,,2(6)
Paul WannerFC,Heidenheim,6.43,1784,3.0,2.0,20(9)
Maxim Leitsch,Mainz,6.43,670,1.0,,6(8)
Anrie Chase,Stuttgart,6.43,729,,,7(5)
Finn Jeltsch,Stuttgart,6.43,777,,,9(3)
Felix Passlack,Bochum,6.43,2305,1.0,5.0,30(1)
Martin Terrier,Leverkusen,6.43,584,2.0,1.0,7(8)
Bence Dárdai,Wolfsburg,6.43,1314,1.0,1.0,16(5)
Jacob Bruun Larsen,Hoffenheim,6.42,393,2.0,2.0,3(9)
Siebe Van der HeydenSt.,Pauli,6.42,876,1.0,,11(2)
Carlo BoukhalfaSt.,Pauli,6.42,1655,2.0,,19(6)
Henri Koudossou,Augsburg,6.42,735,,,4(17)
Jordan Siebatcheu,Union Berlin,6.42,909,,1.0,10(8)
Elias SaadSt.,Pauli,6.41,903,3.0,2.0,10(8)
Jonas FöhrenbachFC,Heidenheim,6.4,1833,,1.0,22(5)
Yan Couto,Borussia Dortmund,6.4,888,,,8(13)
Niels Nkounkou,Eintracht Frankfurt,6.4,379,,,4(8)
Lukas UllrichBorussia M.,Gladbach,6.4,1919,1.0,2.0,24(2)
Danel SinaniSt.,Pauli,6.4,1253,2.0,1.0,14(12)
Yorbe Vertessen,Union Berlin,6.39,718,1.0,,7(10)
Derrick Köhn,Werder Bremen,6.39,1346,2.0,2.0,14(13)
Jonas Hofmann,Leverkusen,6.39,352,2.0,1.0,4(7)
Jonah Kusi-Asare,Bayern,6.39,2,,,0(1)
Nikolas Nartey,Stuttgart,6.39,21,,,0(1)
Marco Grüll,Werder Bremen,6.39,1180,6.0,1.0,13(17)
João Palhinha,Bayern,6.39,667,,,6(11)
Marnon BuschFC,Heidenheim,6.38,1398,,1.0,15(8)
Max Rosenfelder,Freiburg,6.38,1245,1.0,,13(12)
Nediljko Labrovic,Augsburg,6.38,1350,,,15
Janik Haberer,Union Berlin,6.38,1706,,,21(7)
Kevin MüllerFC,Heidenheim,6.38,2940,,,33
Jakov Medic,Bochum,6.38,1604,1.0,,17(6)
Elvis Rexhbeçaj,Augsburg,6.37,1794,1.0,1.0,22(5)
Michael Gregoritsch,Freiburg,6.37,632,2.0,1.0,5(15)
Luca NetzBorussia M.,Gladbach,6.37,960,,2.0,8(16)
Mathys Tel,Bayern,6.36,253,,1.0,2(6)
Tim Oermann,Bochum,6.36,2172,,2.0,26(3)
Justin Njinmah,Werder Bremen,6.36,945,3.0,2.0,10(16)
David Zec,Holstein Kiel,6.36,1500,1.0,,18
Maximilian Bauer,Augsburg,6.36,657,,,8(3)
Timo Becker,Holstein Kiel,6.35,2402,,2.0,28(2)
Andu Kelati,Holstein Kiel,6.35,287,1.0,1.0,2(6)
Marko Ivezic,Holstein Kiel,6.35,1586,,,18(4)
Arthur,Leverkusen,6.34,744,,1.0,7(13)
Leonardo Bittencourt,Werder Bremen,6.34,976,2.0,1.0,10(17)
Giovanni Reyna,Borussia Dortmund,6.34,342,2.0,,3(13)
Carl Johansson,Holstein Kiel,6.34,568,,,7(3)
Johannes EggesteinSt.,Pauli,6.34,1868,3.0,4.0,22(5)
Stanley Nsoki,Hoffenheim,6.34,1310,,,16(6)
Marco Komenda,Holstein Kiel,6.33,1313,,,17(2)
Oscar Højlund,Eintracht Frankfurt,6.33,719,1.0,,7(13)
Junior Adamu,Freiburg,6.33,1557,2.0,2.0,19(6)
Kevin Paredes,Wolfsburg,6.33,125,,1.0,2
Aljoscha Kemlein,Union Berlin,6.32,925,1.0,,11(4)
Mert Kömür,Augsburg,6.32,648,2.0,1.0,5(15)
Dani de Wit,Bochum,6.32,1145,2.0,1.0,11(16)
Gift Orban,Hoffenheim,6.32,690,4.0,,7(6)
Lukas Nmecha,Wolfsburg,6.32,456,3.0,,3(16)
Cédric Zesiger,Wolfsburg,6.32,521,,,5(2)
