Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Lucas Pires,Cadiz,6.44,1529,1.0,,15(13)
Djené Dakonam,Getafe,6.43,2494,,,30(3)
Óliver Torres,Sevilla,6.43,1624,,1.0,18(9)
Toni Lato,Mallorca,6.43,1545,,1.0,16(12)
César Montes,Almeria,6.43,1792,,,21
Largie Ramazani,Almeria,6.43,1561,3.0,5.0,16(13)
Andrés Guardado,Real Betis,6.42,443,,,4(8)
Óscar Rodríguez,Getafe,6.42,965,2.0,1.0,9(15)
Ricardo Visus,Real Betis,6.42,166,,,1(2)
Samu Aghehowa,Deportivo Alaves,6.42,1922,8.0,1.0,21(13)
Assane Diao,Real Betis,6.42,1054,2.0,,13(5)
Gerard Gumbau,Granada,6.42,2685,,3.0,31(4)
Jon Moncayola,Osasuna,6.42,1803,1.0,3.0,21(12)
Darwin Machís,Cadiz,6.41,785,4.0,,10(11)
Carles Pérez,Celta Vigo,6.41,771,1.0,1.0,7(9)
Omar Alderete,Getafe,6.41,2197,,1.0,25(7)
Abner Vinícius,Real Betis,6.41,1398,,1.0,15(8)
Roger Martí,Cadiz,6.41,1369,2.0,3.0,18(5)
Djibril Sow,Sevilla,6.41,1470,1.0,1.0,18(6)
Cyle Larin,Mallorca,6.41,1827,3.0,2.0,20(15)
Chimy Ávila,Osasuna,6.41,869,1.0,3.0,10(7)
Jon Aramburu,Real Sociedad,6.41,543,,,5(6)
Ianis Hagi,Deportivo Alaves,6.41,798,,2.0,8(14)
Carlos Fernández,Real Sociedad,6.4,408,2.0,1.0,6(5)
Étienne Capoue,Villarreal,6.4,1443,1.0,1.0,15(17)
Fran Beltrán,Celta Vigo,6.4,2437,,,28(5)
Hugo Sotelo,Celta Vigo,6.4,721,,1.0,8(9)
Paco Sanz,Almeria,6.4,23,,,0(1)
Jaime Mata,Getafe,6.4,1794,5.0,1.0,22(13)
Iñaki Peña,Barcelona,6.4,900,,,10
Arsen Zakharyan,Real Sociedad,6.4,1231,1.0,2.0,15(14)
Juanmi,Cadiz,6.4,875,3.0,1.0,9(7)
Abdón Prats,Mallorca,6.4,1259,6.0,1.0,11(23)
Fernando Martínez,Almeria,6.4,360,,,4
Miguel Crespo,Rayo Vallecano,6.39,521,,,4(11)
