Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Christopher Wooh,Rennes,6.62,1007,,,12(1)
Xavier Chavalerin,Troyes,6.62,2422,4.0,2.0,25(9)
Matz Sels,Strasbourg,6.61,3420,,,38
Wahbi Khazri,Montpellier,6.61,1644,4.0,1.0,20(7)
Quentin Boisgard,Lorient,6.61,182,1.0,,1(4)
Presnel KimpembePSG,Desconocido,6.61,731,,,9(2)
Isaak Touré,Auxerre,6.61,1591,1.0,,18(1)
Jens Cajuste,Reims,6.61,1529,3.0,1.0,14(17)
Thiago Mendes,Lyon,6.61,2065,1.0,1.0,22(9)
Saël Kumbedi,Lyon,6.61,1317,,2.0,14(6)
Mateusz Wieteska,Clermont Foot,6.61,3120,,1.0,35
Thomas Foket,Reims,6.61,1983,,1.0,23(1)
Juan BernatPSG,Desconocido,6.61,1648,1.0,4.0,18(10)
Gauthier Gallon,Troyes,6.6,2668,,,30
Thibault De Smet,Reims,6.6,1762,,1.0,20(2)
Kevin Gameiro,Strasbourg,6.6,2103,10.0,,23(11)
Yvon Mvogo,Lorient,6.59,1813,,,21
Jackson Porozo,Troyes,6.59,1616,2.0,,17(5)
Habib Diarra,Strasbourg,6.59,1628,3.0,2.0,18(11)
Birama Touré,Auxerre,6.59,3405,2.0,,38
Lilian Raolisoa,Angers,6.59,166,1.0,,0(7)
Lucas Perrin,Strasbourg,6.59,1763,,1.0,18(8)
Hugo EkitikéPSG,Desconocido,6.59,1155,3.0,4.0,12(13)
Jean Lucas,Monaco,6.58,289,,,3(3)
Cheick Oumar Konaté,Clermont Foot,6.58,572,,,6(3)
Dénys Bain,Auxerre,6.58,124,,,1(1)
Rhys Healey,Toulouse,6.58,61,2.0,,0(4)
Bradley Locko,Reims,6.58,1060,,,13(2)
José Fonte,Lille,6.58,2593,1.0,,30(1)
Yan Valery,Angers,6.57,2504,,,30
Elbasan Rashani,Clermont Foot,6.57,2173,3.0,3.0,26(6)
Ludovic Ajorque,Strasbourg,6.57,772,1.0,,9(4)
Loïc Badé,Rennes,6.57,90,,1.0,1
