Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
505,Anton Stach,de GER,MF,Hoffenheim,24,1998,31,2321,75,75.8,25.8,26,83,16,5,33,0,1.29,47,55,-8,-0.31,-1.28,Matches
506,Anton Stach,de GER,MF,Mainz 05,24,1998,2,170,85,5.6,1.9,2,85,1,0,,0,0.50,2,4,-2,-1.06,-0.75,Matches
507,Jens Stage,dk DEN,MF,Werder Bremen,26,1996,30,2327,78,76.0,25.9,26,85,15,4,29,0,1.20,32,39,-7,-0.27,-0.39,Matches
508,Josip Stanišić,hr CRO,"DF,MF",Leverkusen,23,2000,20,1261,63,41.2,14.0,13,90,12,7,13,12,2.70,35,9,+26,+1.86,-0.10,Matches
509,Niklas Stark,de GER,DF,Werder Bremen,28,1995,17,1088,64,35.6,12.1,12,85,10,5,13,3,1.47,20,16,+4,+0.33,+0.79,Matches
510,Pascal Stenzel,de GER,DF,Stuttgart,27,1996,23,1064,46,34.8,11.8,14,68,1,9,12,9,2.30,30,13,+17,+1.44,+0.45,Matches
511,Leonidas Stergiou,ch SUI,DF,Stuttgart,21,2002,15,594,40,19.4,6.6,6,81,4,9,12,17,2.13,14,6,+8,+1.21,+0.08,Matches
512,Angelo Stiller,de GER,MF,Hoffenheim,22,2001,1,84,84,2.7,0.9,1,84,0,0,,0,0.00,1,2,-1,-1.07,-1.10,Matches
513,Angelo Stiller,de GER,MF,Stuttgart,22,2001,31,2694,87,88.0,29.9,30,89,26,1,20,0,2.23,69,32,+37,+1.24,+0.74,Matches
514,Kevin Stöger,at AUT,MF,Bochum,29,1993,32,2668,83,87.2,29.6,32,83,21,0,,0,0.94,38,65,-27,-0.91,+0.24,Matches
515,Filip Stojilković,ch SUI,FW,Darmstadt 98,23,2000,6,154,26,5.0,1.7,0,,0,6,26,2,0.00,0,4,-4,-2.34,-0.73,Matches
516,Niklas Süle,de GER,DF,Dortmund,27,1995,23,1514,66,49.5,16.8,14,87,13,9,33,9,1.74,30,19,+11,+0.65,-0.16,Matches
517,Mattias Svanberg,se SWE,MF,Wolfsburg,24,1999,25,1715,69,56.0,19.1,20,80,5,5,25,4,1.16,25,33,-8,-0.42,+0.05,Matches
518,Attila Szalai,hu HUN,DF,Hoffenheim,25,1998,4,288,72,9.4,3.2,4,72,2,0,,14,1.50,7,7,0,0.00,0.00,Matches
519,Attila Szalai,hu HUN,"DF,MF",Freiburg,25,1998,3,103,34,3.4,1.1,0,,0,3,34,12,1.00,0,3,-3,-2.62,-2.32,Matches
520,Jonathan Tah,de GER,DF,Leverkusen,27,1996,31,2631,85,86.0,29.2,30,87,27,1,19,2,2.68,78,21,+57,+1.95,+0.27,Matches
521,Japhet Tanganga,eng ENG,DF,Augsburg,24,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
522,Edmond Tapsoba,bf BFA,DF,Leverkusen,24,1999,28,2087,75,68.2,23.2,23,89,20,5,9,2,2.64,62,19,+43,+1.85,-0.18,Matches
523,Mathys Tel,fr FRA,"MF,FW",Bayern Munich,18,2005,30,1050,35,34.3,11.7,6,85,4,24,22,4,2.10,37,17,+20,+1.71,+0.42,Matches
524,Nathan Tella,ng NGA,MF,Leverkusen,24,1999,24,819,34,26.8,9.1,8,73,1,16,15,8,2.75,24,2,+22,+2.42,+0.69,Matches
