"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ellyes Skhiri,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,M,27,Tunisia,Koln,,"
"Kevin Kampl,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,M,32,Slovenia,Leipzig,,"
"Florian Neuhaus,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,M,25,Germany,Monchengladbach,,"
"Dodi Lukébakio,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,F,25,Belgium,Hertha Berlin,,"
"Sebastian Rode,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,M,32,Germany,Eintracht Frankfurt,,"
"Sebastian Andersson,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,F,31,Sweden,Koln,,"
"Lucas Alario,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,F,30,Argentina,Eintracht Frankfurt,,"
"Jiri Pavlenka,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,K,30,Czech Republic,Werder Bremen,,"
"Niclas Füllkrug,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,F,29,Germany,Werder Bremen,,"
"Giovanni Reyna,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,F,20,United States,Borussia Dortmund,,"
"Nico Elvedi,,""$ 27,681"",""$ 1,439,386"",,""$ 1,439,386"",""$ 1,503,832"",Active,D,26,Switzerland,Monchengladbach,,"
"Kevin Vogt,,""$ 26,432"",""$ 1,374,451"",,""$ 1,374,451"",""$ 1,435,990"",Active,D,31,Germany,Hoffenheim,,"
"Stefan Lainer,,""$ 25,391"",""$ 1,320,339"",,""$ 1,320,339"",""$ 1,379,455"",Active,D,30,Austria,Monchengladbach,,"
"Moussa Diaby,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,356,841"",Active,F,23,France,Bayer Leverkusen,,"
"Edmond Tapsoba,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,356,841"",Active,D,23,Burkina Faso,Bayer Leverkusen,,"
"Marvin Schwäbe,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,356,841"",Active,K,28,Germany,Koln,,"
"Jeffrey Gouweleeuw,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,356,841"",Active,D,31,Netherlands,Augsburg,,"
"Ihlas Bebou,,""$ 24,975"",""$ 1,298,694"",,""$ 1,298,694"",""$ 1,356,841"",Active,F,28,Togo,Hoffenheim,,"
"Ludovic Ajorque,,""$ 23,726"",""$ 1,233,759"",,""$ 1,233,759"",""$ 1,288,999"",Active,F,28,France,Mainz,,"
"Serhou Guirassy,,""$ 23,726"",""$ 1,233,759"",,""$ 1,233,759"",""$ 1,288,999"",Loan,F,26,Guinea,Stuttgart,,"
"Daniel Caligiuri,,""$ 23,102"",""$ 1,201,292"",,""$ 1,201,292"",""$ 1,255,078"",Active,F,35,Italy,Augsburg,,"
"Dennis Geiger,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,M,24,Germany,Hoffenheim,,"
"Rune Jarstein,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,K,38,Norway,Hertha Berlin,,"
"Silvan Widmer,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,D,30,Switzerland,Mainz,,"
"Jonas Wind,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,F,23,Denmark,Wolfsburg,,"
"Piero Hincapié,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,D,21,Ecuador,Bayer Leverkusen,,"
"Marvin Friedrich,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,D,27,Germany,Monchengladbach,,"
"Djibril Sow,,""$ 22,894"",""$ 1,190,470"",,""$ 1,190,470"",""$ 1,243,771"",Active,M,25,Switzerland,Eintracht Frankfurt,,"
"Julian Ryerson,,""$ 22,477"",""$ 1,168,825"",,""$ 1,168,825"",""$ 1,221,157"",Active,D,25,Norway,Borussia Dortmund,,"
"Gregor Kobel,,""$ 22,477"",""$ 1,168,825"",,""$ 1,168,825"",""$ 1,221,157"",Active,K,25,Switzerland,Borussia Dortmund,,"
"Marius Bülter,,""$ 22,477"",""$ 1,168,825"",,""$ 1,168,825"",""$ 1,221,157"",Active,F,29,Germany,Schalke 04,,"
"Daley Blind,,""$ 22,061"",""$ 1,147,180"",""$ 292,206"",""$ 1,439,386"",""$ 1,503,832"",Active,D,32,Netherlands,Bayern Munich,,"
"Daley Sinkgraven,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,D,27,Netherlands,Bayer Leverkusen,,"
"Paul Wanner,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,F,17,Austria,Bayern Munich,,"
"Sven Ulreich,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,K,34,Germany,Bayern Munich,,"
"Daichi Kamada,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,F,26,Japan,Eintracht Frankfurt,,"
"Pavel Kaderabek,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,D,30,Czech Republic,Hoffenheim,,"
"Mohamed Simakan,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,D,22,France,Leipzig,,"
