"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Arthur Theate,,""$ 36,980"",""$ 1,922,936"",""$ 339,342"",""$ 2,262,278"",""$ 2,262,278"",Active,D,24,Belgium,Eintracht Frankfurt,,"
"Carney Chukwuemeka,,""$ 35,892"",""$ 1,866,379"",,""$ 1,866,379"",""$ 1,866,379"",Loan,M,21,England,Borussia Dortmund,,"
"Daniel Svensson,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Loan,D,22,Sweden,Borussia Dortmund,,"
"Kamil Grabara,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,K,26,Poland,Wolfsburg,,"
"Jonas Omlin,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,K,31,Switzerland,Monchengladbach,,"
"Rasmus Kristensen,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Loan,D,27,Denmark,Eintracht Frankfurt,,"
"Marco Friedl,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,D,27,Austria,Werder Bremen,,"
"Jamie Bynoe-Gittens,,""$ 34,587"",""$ 1,798,511"",""$ 305,408"",""$ 2,103,919"",""$ 2,103,919"",Active,F,20,England,Borussia Dortmund,,"
"Mitchell Weiser,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,30,Germany,Werder Bremen,,"
"Adam Hlozek,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,22,Czech Republic,Hoffenheim,,"
"Eljif Elmas,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Inactive,F,25,North Macedonia,Leipzig,,"
"Christian Günter,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,31,Germany,Freiburg,,"
"Michy Batshuayi,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,31,Belgium,Eintracht Frankfurt,,"
"Julian Chabot,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,26,Germany,Stuttgart,,"
"Jamie Leweling,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,23,Germany,Stuttgart,,"
"El Bilal Touré,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,F,23,Mali,Stuttgart,,"
"Chris Führich,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,27,Germany,Stuttgart,,"
"Atakan Karazor,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,28,Turkey,Stuttgart,,"
"Nadiem Amiri,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,28,Germany,Mainz,,"
