Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
550,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,12,460,38,13.5,5.1,4,80,2,8,18,2,1.92,10,6,+4,+0.78,+0.30,Matches
551,Pedri,es ESP,MF,Barcelona,21,2002,37,2879,78,84.2,32.0,35,81,15,2,21,0,2.30,76,30,+46,+1.44,-1.39,Matches
552,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,31,2298,74,67.2,25.5,27,82,16,4,19,3,1.00,27,33,-6,-0.23,+0.33,Matches
553,Pejiño,es ESP,MF,Las Palmas,28,1996,1,16,16,0.5,0.2,0,,0,1,16,7,1.00,0,0,0,0.00,+0.56,Matches
554,Andy Pelmard,mg MAD,DF,Las Palmas,24,2000,4,205,51,6.0,2.3,2,75,1,2,28,5,0.25,3,3,0,0.00,+0.59,Matches
555,Iñaki Peña,es ESP,GK,Barcelona,25,1999,16,1396,87,40.8,15.5,15,90,15,1,46,22,1.69,36,18,+18,+1.16,-0.84,Matches
556,Rubén Peña,es ESP,"FW,DF",Osasuna,33,1991,25,775,31,22.7,8.6,7,67,1,18,17,11,1.28,9,12,-3,-0.35,-0.31,Matches
557,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,28,1500,54,43.9,16.7,15,78,5,13,25,0,2.11,30,23,+7,+0.42,-0.19,Matches
558,Peque,es ESP,"MF,FW",Sevilla,21,2002,26,1134,44,33.2,12.6,14,70,1,12,13,11,0.96,16,17,-1,-0.08,+0.39,Matches
559,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,30,1970,66,57.6,21.9,22,80,9,8,27,0,1.93,37,25,+12,+0.55,+0.05,Matches
560,Carles Pérez,es ESP,MF,Getafe,26,1998,27,1431,53,41.8,15.9,15,74,4,12,27,11,0.89,15,17,-2,-0.13,+0.01,Matches
561,Francisco Perez,es ESP,MF,Valencia,21,2002,26,570,22,16.7,6.3,4,53,0,22,16,5,1.54,5,9,-4,-0.63,-0.44,Matches
562,Kike Pérez,es ESP,MF,Valladolid,27,1997,19,1191,63,34.8,13.2,14,75,2,5,27,1,0.79,7,25,-18,-1.36,+0.50,Matches
563,Luis Pérez,es ESP,DF,Valladolid,29,1995,30,2558,85,74.8,28.4,28,89,27,2,39,4,0.53,20,65,-45,-1.58,+0.40,Matches
564,Romain Perraud,fr FRA,DF,Real Betis,26,1997,28,2002,72,58.5,22.2,22,85,19,6,22,8,1.25,34,31,+3,+0.13,-0.12,Matches
565,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,1,6,6,0.2,0.1,0,,0,1,6,4,0.00,0,1,-1,-15.00,-14.47,Matches
566,Pica,es ESP,DF,Alavés,22,2002,9,499,55,14.6,5.5,5,88,4,4,15,26,1.00,6,8,-2,-0.36,-0.11,Matches
567,Lander Pinillos,es ESP,MF,Alavés,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
568,Yeremi Pino,es ESP,MF,Villarreal,21,2002,34,1934,57,56.5,21.5,25,69,1,9,24,1,1.79,43,28,+15,+0.70,+0.40,Matches
569,Xavi Pleguezuelo,es ESP,DF,Real Betis,21,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
570,Jackson Porozo,ec ECU,DF,Leganés,23,2000,0,,,,,0,,0,0,,18,,,,,,,Matches
571,Portu,es ESP,"FW,MF",Girona,32,1992,27,779,29,22.8,8.7,6,70,0,21,17,3,0.93,10,10,0,0.00,+0.55,Matches
572,Beñat Prados,es ESP,MF,Athletic Club,23,2001,30,1715,57,50.1,19.1,21,71,5,9,25,5,1.80,22,14,+8,+0.42,-0.48,Matches
573,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,24,456,19,13.3,5.1,3,72,1,21,11,8,1.38,7,6,+1,+0.20,+0.50,Matches
574,Javi Puado,es ESP,"MF,FW",Espanyol,26,1998,35,2974,85,87.0,33.0,35,85,20,0,,0,1.03,30,42,-12,-0.36,-0.56,Matches
575,Víctor Puig,es ESP,GK,Las Palmas,24,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
576,Dani Raba,es ESP,"MF,FW",Leganés,28,1995,29,1879,65,54.9,20.9,24,74,6,5,20,5,1.14,25,27,-2,-0.10,+0.78,Matches
577,Rafa,es ESP,GK,Sevilla,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
578,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,90,90,2.6,1.0,1,90,1,0,,9,0.00,1,2,-1,-1.00,+0.70,Matches
579,Antonio Raillo,es ESP,DF,Mallorca,32,1991,36,3207,89,93.8,35.6,36,89,34,0,,0,1.25,31,38,-7,-0.20,+0.65,Matches
580,Benito Ramírez,es ESP,"MF,DF",Las Palmas,29,1995,19,478,25,14.0,5.3,2,61,0,17,21,10,0.84,7,8,-1,-0.19,+0.42,Matches
581,Sandro Ramírez,es ESP,"MF,FW",Las Palmas,29,1995,31,2034,66,59.5,22.6,25,75,6,6,28,1,0.94,26,34,-8,-0.35,+0.49,Matches
582,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,3,204,68,6.0,2.3,2,90,2,1,24,13,3.00,4,3,+1,+0.44,-0.65,Matches
583,Pablo Ramon,es ESP,DF,Espanyol,23,2001,0,,,,,0,,0,0,,5,,,,,,,Matches
584,Raphinha,br BRA,"MF,FW",Barcelona,27,1996,36,2839,79,83.0,31.5,32,84,23,4,35,1,2.28,84,31,+53,+1.68,+0.13,Matches
585,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,26,1998,35,3065,88,89.6,34.1,34,89,31,1,34,1,1.37,37,41,-4,-0.12,-0.12,Matches
586,Raúl,es ESP,FW,Osasuna,23,2000,32,750,23,21.9,8.3,5,66,0,27,16,2,1.25,9,14,-5,-0.60,-0.63,Matches
587,Abde Rebbach,dz ALG,"MF,FW",Alavés,25,1998,8,385,48,11.3,4.3,4,75,1,4,22,10,1.25,6,7,-1,-0.23,+0.03,Matches
588,Alejandro Rego,es ESP,MF,Athletic Club,21,2003,0,,,,,0,,0,0,,3,,,,,,,Matches
589,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,3240,90,94.7,36.0,36,90,36,0,,2,1.28,35,43,-8,-0.22,+1.28,Matches
590,Daniel Requena,es ESP,MF,Villarreal,20,2004,1,10,10,0.3,0.1,0,,0,1,10,1,3.00,0,1,-1,-9.00,-9.55,Matches
591,Diego Rico,es ESP,DF,Getafe,31,1993,33,2819,85,82.4,31.3,32,88,30,1,4,1,1.18,32,30,+2,+0.06,+1.11,Matches
592,Luis Rioja,es ESP,"FW,MF",Alavés,30,1993,1,23,23,0.7,0.3,0,,0,1,23,0,0.00,0,1,-1,-3.91,-3.67,Matches
593,Luis Rioja,es ESP,MF,Valencia,30,1993,36,2831,79,82.8,31.5,33,83,15,3,29,0,1.19,37,41,-4,-0.13,+0.79,Matches
594,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,16,516,32,15.1,5.7,4,72,1,12,19,19,2.13,13,5,+8,+1.40,+0.47,Matches
595,Alberto Risco,es ESP,MF,Getafe,18,2005,5,69,14,2.0,0.8,0,,0,5,14,6,0.60,2,0,+2,+2.61,+2.80,Matches
596,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,28,1995,10,429,43,12.5,4.8,6,64,0,4,11,17,1.80,7,5,+2,+0.42,+0.42,Matches
597,Mario Rivas,es ESP,DF,Real Madrid,17,2007,0,,,,,0,,0,0,,2,,,,,,,Matches
598,Gorka Rivera Alonso,es ESP,DF,Getafe,19,2004,1,20,20,0.6,0.2,0,,0,1,20,1,0.00,0,0,0,0.00,+0.13,Matches
